state,T_K,x,omega_rad_s,omega_1e12_rad_s_paper_frequency_axis,frequency_THz_cycles_s,dkappa_dx_W_mK,spectral_kappa_pW_s_mK,total_rate_s-1,phonon_phonon_rate_s-1,boundary_rate_s-1,point_defect_rate_s-1,precipitate_small_rate_s-1,precipitate_big_rate_s-1,dislocation_core_rate_s-1,dislocation_strain_rate_s-1
48h,303.94,0.0425083898138,1.69149078256e+12,1.69149078256,0.269209119238,0.818858244127,0.0205785014039,54933896679,7410213275.46,146280991.736,14348595.9738,186.232517994,251937612.676,58304506.3068,47052811510.6
48h,303.94,0.0430677107324,1.71374724022e+12,1.71374724022,0.272751344491,0.8282025554,0.0208133307215,55752596685.1,7606501819.63,146280991.736,15118821.4629,196.227622966,252130988.896,60636415.6076,47671927451.6
48h,303.94,0.043627031651,1.73600369789e+12,1.73600369789,0.276293569745,0.83751235053,0.0210472926234,56573942628.7,7805356227.13,146280991.736,15919647.5521,206.619636967,252312475.707,63029687.4474,48291043392.5
48h,303.94,0.0441863525696,1.75826015555e+12,1.75826015555,0.279835794998,0.846787780988,0.0212803909161,57397936963.8,8006776497.94,146280991.736,16751874.2008,217.418918206,252482930.337,65485118.7422,48910159333.4
48h,303.94,0.0447456734882,1.78051661322e+12,1.78051661322,0.283378020251,0.856028998292,0.0215126294075,58224582084.6,8210762632.09,146280991.736,17616311.6904,228.635957143,252643139.749,68003506.4083,49529275274.3
48h,303.94,0.0453049944068,1.80277307088e+12,1.80277307088,0.286920245504,0.865236153906,0.0217440119039,59053880331.8,8417314629.55,146280991.736,18513780.6247,240.2813764,252793827.027,70585647.3615,50148391215.3
48h,303.94,0.0458643153254,1.82502952855e+12,1.82502952855,0.290462470757,0.874409399146,0.021974542208,59885833998.2,8626432490.34,146280991.736,19445111.9291,252.365930667,252935657.141,73232338.5182,50767507156.2
48h,303.94,0.046423636244,1.84728598621e+12,1.84728598621,0.29400469601,0.883548885097,0.0222042241167,60720445334,8838116214.44,146280991.736,20411146.8516,264.900506603,253069242.138,75944376.7942,51386623097.1
48h,303.94,0.0469829571626,1.86954244388e+12,1.86954244388,0.297546921263,0.89265476254,0.0224330614192,61557716551.5,9052365801.87,146280991.736,21412736.9616,277.896122736,253195145.83,78722559.1059,52005739038.1
48h,303.94,0.0475422780812,1.89179890154e+12,1.89179890154,0.301089146517,0.901727181889,0.0226610578956,62397649829.3,9269181252.63,146280991.736,22450744.1512,291.363929354,253313888.034,81567682.3691,52624854979
48h,303.94,0.0481015989998,1.91405535921e+12,1.91405535921,0.30463137177,0.910766293129,0.0228882173151,63240247316.2,9488562566.7,146280991.736,23526040.6342,305.315208399,253425948.394,84480543.5,53243970919.9
48h,303.94,0.0486609199184,1.93631181687e+12,1.93631181687,0.308173597023,0.919772245766,0.0231145434348,64085511134.7,9710509744.1,146280991.736,24639508.9464,319.761373355,253531769.849,87461939.4147,53863086860.8
48h,303.94,0.049220240837,1.95856827454e+12,1.95856827454,0.311715822276,0.92874518878,0.0233400399987,64933443383.8,9935022784.82,146280991.736,25792041.9459,334.713969126,253631761.769,90512667.0294,54482202801.8
48h,303.94,0.0497795617556,1.98082473221e+12,1.98082473221,0.315258047529,0.937685270587,0.0235647107367,65784046142.4,10162101688.9,146280991.736,26984542.8128,350.184671917,253726302.8,93633523.26,55101318742.7
48h,303.94,0.0503388826742,2.00308118987e+12,2.00308118987,0.318800272782,0.946592639,0.0237885593634,66637321471.3,10391746456.2,146280991.736,28217925.049,366.18528911,253815743.437,96825305.0227,55720434683.6
48h,303.94,0.0508982035928,2.02533764754e+12,2.02533764754,0.322342498035,0.955467441199,0.0240115895775,67493271416,10623957086.9,146280991.736,29493112.4789,382.727759132,253900408.373,100088809.234,56339550624.6
48h,303.94,0.0514575245114,2.0475941052e+12,2.0475941052,0.325884723289,0.964309823701,0.0242338050611,68351898008.7,10858733580.9,146280991.736,30811039.2485,399.824151319,253980598.621,103424832.809,56958666565.5
