member_id,host_id,host_family,host_status,background_model,AQ_case_id,age_h,temperature_K,ensemble_mean_kappa_upper_W_mK,replicate_min_W_mK,replicate_max_W_mK,experiment_W_mK,endpoint_gate_pass
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR10,48.0,573.15,0.8792402882974563,0.8785502377764309,0.8797918509526256,1.03,False
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_prolate_AR5__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR5,6.0,573.15,0.8851911905070199,0.8851902500357707,0.8851918807991034,0.85,True
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_prolate_AR5__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR5,48.0,573.15,0.8845793875210676,0.883884097852502,0.8851351375568692,1.03,False
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_prolate_AR2__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,0.9217370149338429,0.921736025058202,0.9217377414880208,0.85,True
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_prolate_AR2__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,0.9210930660016637,0.9203612401568418,0.9216780174027371,1.03,False
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,1.0170568886953142,1.017056209635142,1.0170573871153872,0.85,True
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,1.0166148867479416,1.0161124388109175,1.017016414855075,1.03,False
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,1.0088935537185788,1.0088924385869151,1.0088943722088288,0.85,True
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,1.0081681044400115,1.007343647590459,1.008827090727332,1.03,False
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,1.2081556064905328,1.2081546753764256,1.2081562899144809,0.85,True
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,1.2075496134013244,1.2068607842480028,1.2081001098941966,1.03,True
H-P2_PBTE_303K_100__central__zero_particle_scattering_limit__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__zero_particle_scattering_limit,6.0,573.15,0.8777501483804939,0.8777492177650241,0.8777508314385803,0.85,True
H-P2_PBTE_303K_100__central__zero_particle_scattering_limit__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__zero_particle_scattering_limit,48.0,573.15,0.8771447581747848,0.8764567570516646,0.8776946828502324,1.03,False
H-P2_PBTE_303K_100__central__all_small_at_reported_max__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__all_small_at_reported_max,6.0,573.15,0.8789068453176553,0.8789059131744563,0.8789075294970725,0.85,True
H-P2_PBTE_303K_100__central__all_small_at_reported_max__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__all_small_at_reported_max,48.0,573.15,0.8783004610790327,0.8776113301734794,0.8788512887323487,1.03,False
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR10__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__single_APT_37to6_prolate_AR10,6.0,573.15,0.8813629552232111,0.8813620198307883,0.8813636417875107,0.85,True
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR10__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__single_APT_37to6_prolate_AR10,48.0,573.15,0.8807544568405014,0.8800629230725363,0.8813072049790904,1.03,False
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR5__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__single_APT_37to6_prolate_AR5,6.0,573.15,0.8905947626931319,0.8905938150228903,0.8905954582691693,0.85,True
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR5__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__single_APT_37to6_prolate_AR5,48.0,573.15,0.8899782755764765,0.889277662075495,0.8905382806716722,1.03,False
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__single_APT_37to6_prolate_AR2,6.0,573.15,0.9517841835318382,0.9517831517126116,0.9517849408719891,0.85,True
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,central__single_APT_37to6_prolate_AR2,48.0,573.15,0.9511129429622839,0.95035009810448,0.9517226860947099,1.03,False
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR2,6.0,573.15,1.0929765593414054,1.092975785324511,1.0929771274583164,0.85,True
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR2,48.0,573.15,1.0924727831946701,1.0919001302108904,1.0929304259831127,1.03,True
