CV,R6_nm,R48_nm,fixed_effective_h_volume_nm3,N6_effective,N48_effective,N6_spherical_crosscheck,N48_spherical_crosscheck,Sv6_nm_inv,Sv48_nm_inv,M6_6h_nm3,M6_48h_nm3,kappa_6h_W_mK,kappa_48h_W_mK,delta_kappa_W_mK,relative_change_percent,objective_J,kappa6_within_5pct,kappa48_within_5pct,positive_trend,integration
0.3,14.5,17.5,356237.61016735336,21.541089185799308,12.25342563620896,27.896335187196488,15.868541548234054,0.004167107497430611,0.0034527462121567917,48.985530988518875,86.1148321428819,1.2961901278083459,1.2961171385390609,-7.298926928500649e-05,-0.005631061965301332,0.34230411468747896,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,16.0,356237.61016735336,21.541089185799308,16.03288647926207,27.896335187196488,20.763052944352268,0.004167107497430611,0.003776441169546492,48.985530988518875,65.81482961301349,1.2961901278083459,1.296118480119507,-7.164768883893835e-05,-0.005527560139659708,0.34230478773573864,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,19.0,356237.61016735336,20.464239251431135,9.574384461154319,26.501783293541603,12.399105534344203,0.004096478556796195,0.003180160984881257,51.563201488842395,110.21091706925273,1.2961724151337597,1.2961695733537641,-2.8417799955438028e-06,-0.00021924398038130927,0.3423085458811727,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,18.0,356237.61016735336,21.541089185799308,11.260408610949495,27.896335187196488,14.582555703029302,0.004167107497430611,0.0033568365951524375,48.985530988518875,93.70900544509136,1.2961901278083459,1.2961293092569912,-6.0818551354646644e-05,-0.004692101108460167,0.3423102206554171,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,15.5,356237.61016735336,21.541089185799308,17.635044951577978,27.896335187196488,22.837894628597063,0.004167107497430611,0.003898261852435089,48.985530988518875,59.83549771122082,1.2961901278083459,1.2961335631687185,-5.656463962733227e-05,-0.004363915324904858,0.3423123548803912,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,18.5,356237.61016735336,21.541089185799308,10.371856043125968,27.896335187196488,13.431854359673368,0.004167107497430611,0.0032661112817699393,48.985530988518875,101.73701673547272,1.2961901278083459,1.296146933364145,-4.319444420075591e-05,-0.0033324157678774283,0.3423190630472876,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,20.0,356237.61016735336,19.457986079720715,8.20883787738218,25.198656254834635,10.63068310750836,0.004028203914182925,0.0030211529356371945,54.22974852146498,128.54458908791688,1.2961571604374513,1.2962283554150134,7.119497756202797e-05,0.005492773541288755,0.34231920440379493,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,19.5,356237.61016735336,20.464239251431135,8.856616331233834,26.501783293541603,11.469574990821409,0.004096478556796195,0.003098618395525328,51.563201488842395,119.14275750165844,1.2961724151337597,1.2961968336099206,2.4418476160859015e-05,0.0018838910530540127,0.34232222525210576,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,15.0,356237.61016735336,21.541089185799308,19.457986079720715,27.896335187196488,25.198656254834635,0.004167107497430611,0.004028203914182925,48.985530988518875,54.22974852146498,1.2961901278083459,1.2961571604374513,-3.2967370894532166e-05,-0.002543405491775718,0.34232419445740025,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.25,17.0,356237.61016735336,22.694837241254668,13.366721558936986,29.39047237770478,17.310292053748604,0.004240214646508342,0.0035542975713378747,46.495230638591,78.942445773617,1.2962104233690412,1.296110906446924,-9.95169221171821e-05,-0.007677528302736759,0.34232605638971186,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
