run_dir,continuous_nucleus_id,rc_nm,shape_type,candidate_template_count_within_threshold,selected_template_id,is_mapping_unique,nearest_template_id,nearest_template_loss_proxy,all_candidate_template_ids
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_sm0p01,1.8245556046158986,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.0295234156,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_eyy_s0p0025,2.397828282753777,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.545034303,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_eyy_s0p005,2.348617103738982,faceted,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.498267624,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_eyy_s0p0075,2.302746495509778,faceted,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.4538180157,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_eyy_s0p01,2.259950674297805,faceted,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.4139956945,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_eyy_sm0p0025,2.50748275917824,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.657142239,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_eyy_sm0p005,2.5686316768692086,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.7208466567,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_eyy_sm0p0075,2.6345470033203036,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.7886414831,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_eyy_sm0p01,2.705708127961842,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.8614556077,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_s000,2.4506729558598908,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.5970984356,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p030_strictref_exx_s0p0025,2.3468401456484087,faceted,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.4976716659,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
