case,accepted_step,rejected_step,idx,i,j,k,C_n,C_nm1,phi_n,phi_nm1,C_anchor,phi_E_raw,h_phi_E,alpha_E,phase_lower_C,phase_upper_C,q_n,q_anchor_E,xB_alpha_n,context_invalid,predicted_transition,trial_C,trial_phi,trial_q_alpha,trial_xB_alpha,trial_mu,trial_mobility_status,trial_face_x_out,trial_face_x_in,trial_residual
dt16,5482,5483,255,255,0,0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,1.00000000000000022e+00,1.00000000000000000e+00,2.22044604925031308e-16,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,256,256,0,0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,1.00000000000000022e+00,1.00000000000000000e+00,2.22044604925031308e-16,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,257,257,0,0,1.0000000000000013,1.0000000000000013,1.0,1.0,1.0000000000000013,1.0,1.0,0.0,1.0,1.0,1.3322676295501878e-15,1.3322676295501878e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,1.00000000000000133e+00,1.00000000000000000e+00,1.33226762955018785e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,258,258,0,0,0.9999999999999981,0.9999999999999981,0.9999942638438646,0.9999942638438646,0.9999999999999981,0.9999942638438646,0.9999999999999981,1.887379141862766e-15,0.9999999999999981,1.0,0.0,0.0,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999998113e-01,9.99994263843864584e-01,-2.22044604925031308e-16,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,259,259,0,0,0.9999999999999997,0.9999999999999997,0.999994240829163,0.9999942411250037,0.9999999999999997,0.9999942405333223,0.9999999999999981,1.887379141862766e-15,0.9999999999999981,1.0,1.5543122344752192e-15,1.5543122344752192e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999999667e-01,9.99994240533665479e-01,2.33146835171282873e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,260,260,0,0,0.9999999999999917,0.9999999999999917,0.9999888456040911,0.9999888453062014,0.9999999999999917,0.9999888459019808,0.9999999999999861,1.3877787807814457e-14,0.9999999999999861,1.0,5.551115123125783e-15,5.551115123125783e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999991673e-01,9.99988845901494616e-01,5.66213742558829836e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,261,261,0,0,0.9999999999998012,0.9999999999998012,0.9999723585087074,0.9999723587152543,0.9999999999998012,0.9999723583021605,0.9999999999997888,2.1116441928370477e-13,0.9999999999997888,1.0,1.2323475573339238e-14,1.2323475573339238e-14,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999801159e-01,9.99972358302876785e-01,1.37667655053519411e-14,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,262,262,0,0,0.999999999996018,0.999999999996018,0.9999247566154925,0.999924755930803,0.999999999996018,0.999924757300182,0.9999999999957406,4.259370633974413e-12,0.9999999999957406,1.0,2.774447338538266e-13,2.773337115513641e-13,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999996017963e-01,9.99924757298890077e-01,2.77333711551364104e-13,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,263,263,0,0,0.9999999999200492,0.9999999999200492,0.999798982659392,0.9997989820501149,0.9999999999200492,0.9997989832686692,0.9999999999187982,8.120182304338641e-11,0.9999999999187982,1.0,1.2516654379624015e-12,1.2509993041476264e-12,0.005907940326439206,0,NONE,9.99999999920049176e-01,9.99798983272456532e-01,1.25299770559195167e-12,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,264,264,0,0,0.9999999984281772,0.9999999984277043,0.9994570810680384,0.9994570744797795,0.9999999984283349,0.9994570876562974,0.999999998401048,1.598951970827045e-09,0.999999998401048,1.0,2.718736347162576e-11,2.7286839454632172e-11,0.017002601466888284,0,NONE,9.99999998428875991e-01,9.99457087650532983e-01,2.78274070453221611e-11,1.74038761770803282e-02,6.24114441900580630e-02,FACE_NONFINITE,nan,0.00000000000000000e+00,nan
dt16,5482,5483,265,265,0,0,0.9999999702053641,0.9999999702053722,0.9985600119901176,0.9985600121207786,0.9999999702053614,0.9985600118594565,0.9999999702053557,2.979464430730161e-08,0.9999999702053557,1.0,3.3306690738754696e-16,5.662137425588298e-15,1.0000230611446271e-08,0,FREE_TO_QALPHA_LOWER_CAPACITY,9.99999970205344368e-01,9.98560011671519754e-01,-4.44089209850062616e-16,1.00002303084698605e-08,nan,FACE_NONFINITE,nan,nan,nan
