record_type,target_time_h,time_h,cohort_count,time_s,N_m0_m3,M0_m3,M1_m2,M2_m,M3_dimensionless,Rmean_m,Rmean3_m3,Sv_m_inv,f_beta,matrix_xB,beta_inventory_mol_m3,matrix_inventory_mol_m3,total_inventory_mol_m3,inventory_residual_mol_m3,inventory_relative_residual,active_cohort_count,cumulative_dissolution_inventory_mol_m3,initial_id,initial_radius_m,weight_m3,initial_inventory_mol_m3,active,radius_m,initial_growth_sign,current_growth_dissolution_sign,dissolution_time_s,radius_before_event_m,post_event_ledger_relative_residual,returned_inventory_mol_m3,current_inventory_mol_m3,ledger_relative_residual
COHORT,0.01,0.01,6,,,,,,,,,,,0.006196469802531971,,,,,,6,,MP005,7.99993108603241e-09,1.1302806712962962e+21,59.109116572532564,True,7.993456462569924e-09,DISSOLUTION,DISSOLUTION,,,,0.0,58.96571548101698,0.0
COHORT,0.01,0.01,6,,,,,,,,,,,0.006196469802531971,,,,,,6,,MP006,7.999932118399894e-09,1.1302806712962962e+21,59.10913945610636,True,7.99345750539459e-09,DISSOLUTION,DISSOLUTION,,,,0.0,58.965738558984896,0.0
COHORT,0.1,0.1,6,,,,,,,,,,,0.0061154026673065805,,,,,,6,,MP001,1.049993948124773e-08,1.1302806712962962e+21,133.64604733770057,True,1.056475377124092e-08,GROWTH,GROWTH,,,,0.0,136.13627705408126,0.0
COHORT,0.1,0.1,6,,,,,,,,,,,0.0061154026673065805,,,,,,6,,MP002,1.0499939315689504e-08,1.1302806712962962e+21,133.64604101589208,True,1.0564753600406026e-08,GROWTH,GROWTH,,,,0.0,136.13627045000135,0.0
COHORT,0.1,0.1,6,,,,,,,,,,,0.0061154026673065805,,,,,,6,,MP003,9.49995816215454e-09,1.1302806712962962e+21,98.9830448069612,True,9.524171599810453e-09,GROWTH,GROWTH,,,,0.0,99.7418377443791,0.0
COHORT,0.1,0.1,6,,,,,,,,,,,0.0061154026673065805,,,,,,6,,MP004,9.499958271209501e-09,1.1302806712962962e+21,98.98304821579482,True,9.524171714427e-09,GROWTH,GROWTH,,,,0.0,99.74184134534269,0.0
COHORT,0.1,0.1,6,,,,,,,,,,,0.0061154026673065805,,,,,,6,,MP005,7.99993108603241e-09,1.1302806712962962e+21,59.109116572532564,True,7.90941584566409e-09,DISSOLUTION,DISSOLUTION,,,,0.0,57.1253612983687,0.0
COHORT,0.1,0.1,6,,,,,,,,,,,0.0061154026673065805,,,,,,6,,MP006,7.999932118399894e-09,1.1302806712962962e+21,59.10913945610636,True,7.909416992979714e-09,DISSOLUTION,DISSOLUTION,,,,0.0,57.12538615766182,0.0
COHORT,0.39317699499770825,0.39317699499770825,6,,,,,,,,,,,0.006115196497710397,,,,,,6,,MP001,1.049993948124773e-08,1.1302806712962962e+21,133.64604733770057,True,1.0734016577768974e-08,GROWTH,GROWTH,,,,0.0,142.78497703887177,0.0
COHORT,0.39317699499770825,0.39317699499770825,6,,,,,,,,,,,0.006115196497710397,,,,,,6,,MP002,1.0499939315689504e-08,1.1302806712962962e+21,133.64604101589208,True,1.0734016390772301e-08,GROWTH,GROWTH,,,,0.0,142.78496957652584,0.0
COHORT,0.39317699499770825,0.39317699499770825,6,,,,,,,,,,,0.006115196497710397,,,,,,6,,MP003,9.49995816215454e-09,1.1302806712962962e+21,98.9830448069612,True,9.56496045714881e-09,GROWTH,GROWTH,,,,0.0,101.02881703708191,0.0
COHORT,0.39317699499770825,0.39317699499770825,6,,,,,,,,,,,0.006115196497710397,,,,,,6,,MP004,9.499958271209501e-09,1.1302806712962962e+21,98.98304821579482,True,9.564960589980344e-09,GROWTH,GROWTH,,,,0.0,101.02882124613627,0.0
COHORT,0.39317699499770825,0.39317699499770825,6,,,,,,,,,,,0.006115196497710397,,,,,,6,,MP005,7.99993108603241e-09,1.1302806712962962e+21,59.109116572532564,True,7.524887568794798e-09,DISSOLUTION,DISSOLUTION,,,,0.0,49.1921469317426,0.0
COHORT,0.39317699499770825,0.39317699499770825,6,,,,,,,,,,,0.006115196497710397,,,,,,6,,MP006,7.999932118399894e-09,1.1302806712962962e+21,59.10913945610636,True,7.524889204726749e-09,DISSOLUTION,DISSOLUTION,,,,0.0,49.19217901528737,0.0
COHORT,1.0,1.0,6,,,,,,,,,,,0.006180971520210297,,,,,,6,,MP001,1.049993948124773e-08,1.1302806712962962e+21,133.64604733770057,True,1.1183047869694098e-08,GROWTH,GROWTH,,,,0.0,161.46421398774297,0.0
COHORT,1.0,1.0,6,,,,,,,,,,,0.006180971520210297,,,,,,6,,MP002,1.0499939315689504e-08,1.1302806712962962e+21,133.64604101589208,True,1.118304765015007e-08,GROWTH,GROWTH,,,,0.0,161.46420447821475,0.0
COHORT,1.0,1.0,6,,,,,,,,,,,0.006180971520210297,,,,,,6,,MP003,9.49995816215454e-09,1.1302806712962962e+21,98.9830448069612,True,9.730085248301924e-09,GROWTH,GROWTH,,,,0.0,106.35200131814199,0.0
COHORT,1.0,1.0,6,,,,,,,,,,,0.006180971520210297,,,,,,6,,MP004,9.499958271209501e-09,1.1302806712962962e+21,98.98304821579482,True,9.730085425381293e-09,GROWTH,GROWTH,,,,0.0,106.35200712469309,0.0
COHORT,1.0,1.0,6,,,,,,,,,,,0.006180971520210297,,,,,,6,,MP005,7.99993108603241e-09,1.1302806712962962e+21,59.109116572532564,True,5.956769796309395e-09,DISSOLUTION,DISSOLUTION,,,,0.0,24.40215499960211,0.0
COHORT,1.0,1.0,6,,,,,,,,,,,0.006180971520210297,,,,,,6,,MP006,7.999932118399894e-09,1.1302806712962962e+21,59.10913945610636,True,5.956775201468439e-09,DISSOLUTION,DISSOLUTION,,,,0.0,24.40222142703827,0.0
