age_h,phi_sha256,xB_sha256,mean_C_B_tot,beta_volume_fraction,matrix_xB_h_lt_0p005,matrix_xAg_h_lt_0p005,matrix_xB_alpha_weighted,matrix_xAg_alpha_weighted,resolved_component_count_periodic,resolved_component_count_raw,mean_radius_nm,R3_moment_mean_nm3,interface_area_proxy_nm_inv
30.0,0f3115a6a89d25c87278282e247af7026d5a7c13754f8003874153624bfacc06,b63a6152b6fc0dd8165b9d267de278fe054984c3cde40f491f8bdd8b35dfb36c,0.02999999370092116,0.024746000083859996,0.00538740087786599,0.005372927819839333,0.0053873079397910115,0.005372835380438898,13,20,14.86908224203923,4628.76098338006,0.003828428774428737
31.0,094754572625a5b5197b9d0c9e5883c594c2fe6d68ead43f42f35c7f80b43d79,3dffe1f8007daffb175e857e34fc50bd9bbf9e1b9e10e864be7344d96b948300,0.030000001802584733,0.02474112212262782,0.005392433225705855,0.005377933152995935,0.005392291010365015,0.005377791701441366,13,21,15.527949736071795,4884.94089864958,0.003798066014603802
32.0,0b74372662a071db56c20a967d55511d9c4f275604aed58b89a44e1f795bede1,368fbfae0531e52179a032e914a0c6f951ef3398801b31382c752ae56fada2b9,0.029999997682521793,0.02473226059890325,0.005401561311639931,0.005387012173369428,0.005401324037287866,0.0053867761754678445,13,20,15.359918668435732,4883.191067679222,0.003750394944376388
33.0,01a887bcd3c6b6c0cbeb508133fc30d64b40c5477a5c1e50bfd17e7a77ee8663,9e7ee526fb67eab29a4849c5c5b4ed2ec8c3108a6ce8fa5e2094d930605f827b,0.029999996733426848,0.024737347261957927,0.005396673996792878,0.0053821511392428975,0.005396135550453059,0.005381615586859496,11,18,15.262357950399894,5171.516649657837,0.003626483206637907
34.0,b9e40668e898cf0760c14db3722d84896448b4df8bc307a92f0d15df2d38ee1c,92fd581e7a417ab83a0884f9362da3e1f10b70f5293097d168c8f2ed0a44ecc0,0.02999997854771907,0.024780826653649418,0.005351940615230156,0.005337657203042586,0.005351773259503013,0.005337490739397037,11,19,15.14516053296555,5180.606704271386,0.0035980013045487165
35.0,6a52d2528e598373a6be2177e30edd187db5f82e12a567990e3545e8e8df41ed,2271c1590d9aac87d2e438585d5b38c859b27d14f4593a015a1741d50a6a0981,0.030000000205278154,0.024812658371749497,0.0053193895658463835,0.005305279142588889,0.005319328514731828,0.005305218414936103,10,18,15.6385320674862,5511.465741905301,0.003554111696768648
36.0,22c2a4a177d510f615d8a13a55f4592a1f2e1f9823e5a91dd53a6d39c0f1d6c5,0701dc622c46ba913e5cbc54717db3568fd33cfa709c0faf460607c078309fbb,0.03000001410452362,0.02481149029285916,0.005320607135347186,0.005306490260375684,0.005320534194176113,0.0053064177057501,10,18,15.612596020680972,5511.206319874339,0.0035433992122652393
37.0,4526988063481be76dff858d7d5f1f20de8953f10ed68509678381cea5b89dc5,cff74903313b8cdca6b6e968fe370039429826a200ac3bc278ed9adc0f3b1d57,0.030000000981240633,0.024809360041503838,0.005322786288257875,0.005308657862617779,0.005322693560674173,0.005308565626635518,10,18,15.575871469462967,5510.73316741929,0.0035298279958421394
38.0,132d4bd48b5c914aebba88b6d1f7055140671ab937d0b87076008d8f8efefca8,750459aaf10246890a5a4d1e07d98e541683e686f2c2fec8231de3d02b5fec70,0.02999998254489729,0.0248062657493765,0.0053259505633152186,0.005311805356948688,0.00532583076891055,0.005311686198016453,10,18,15.519213688322438,5510.045645274269,0.0035116550727989945
39.0,d1d6b2cd81da28899e3f0b9b41df1396e0e12d7336767770c55f320974cfb62c,1fe6c499d15b86571cc1074cd77901f9961be0a225584ce1e4e170dec936ef6d,0.03000000272677124,0.02480080233131888,0.005331599643898632,0.005317424454733973,0.00533142398792131,0.0053172497315370675,10,18,15.412581455116104,5508.8317079005465,0.003484109866394859
40.0,f8f48d8680cf5b0c17325c4f10ab374d6cb28c03f4aa4f7641416828d718eeb1,f3e69577a31bfa19fff2e5569a5f4afd85b61cc8bf3a95f975d8785ed93702a7,0.02999996521512437,0.024825441318786126,0.005306405464601209,0.005292363750637689,0.005306253993475924,0.005292213080080672,9,17,15.868241178416978,5881.924716395404,0.003426374849621052
41.0,48683972bad6d507746cd51d2dd98191571edf5fea72cfac13b5cb47b2b79927,b4de84b38ec8f284591475871c97d6dabde056fb78dcc83d757ad987caecba6c,0.030000033778970814,0.024834792014326316,0.005296857088239656,0.005282865795671646,0.005296786352041731,0.0052827954326675405,9,17,15.848240576063846,5884.138644748966,0.0034181952595242595
42.0,04b0a0144ae2291d48df55510258970a540778cbbef3ce20f1dc40fcd3d342ac,8553aba235380810da8f023f9c12200ded5d2abf75830b6cf01eeff35a1c10ba,0.03000002857133245,0.024833089029520198,0.00529860276834937,0.005284602264255864,0.005298518113858202,0.00528451805653542,9,17,15.819625424449013,5883.7325847939255,0.0034073128141177997
43.0,18264ddf45ec9f8254420c84ac7055490b9866a91eb6c57c671569642dde31da,3e282df31eeb46ec09b143330a3c6e82cde34170a4f6225e6c0d110cfc07412d,0.030000005962471266,0.02483093307495671,0.00530079778090365,0.005286785689976879,0.005300694067146704,0.005286682523802301,9,17,15.782585229503583,5883.217169897097,0.003394143355430349
44.0,2462b62e675ebc44dde97348b4437c6b1401c31e6aeef85eb180553233415297,2d39e1fba8be9a81343e46258cd795d7ce302948d1234a292830c7ab1c4368ff,0.02999999253910864,0.02482811786983573,0.005303679814482874,0.005289652502880296,0.005303551880490553,0.005289525244711307,9,17,14.791199933487777,5514.902330125522,0.0033778278062145616
45.0,8ece35fc8ec52151b2378a8b40d91d25fd24d2f22d16046c8d225a028b986776,76d7eadbb45b039da9b73c4f4becb9523dd8196c77431e6064b96d1a944f5b65,0.02999999405861568,0.02482423384792994,0.005307679307847838,0.005293630860357387,0.005307515209395327,0.005293467629418537,9,17,14.732565131622323,5514.03978400357,0.0033568990635233138
46.0,43f7baf099733bc533ce2989ecd4556cd0421cbd6d4556d19bb4f2d71f72cd6b,b4ca44a3f78e5f43cc52af31b8e9963dfc15cf1db191565c2cb86bc3be4d756b,0.029999998758205193,0.024818244159215526,0.00531384978425346,0.005299768696880205,0.005313629554648501,0.005299549632870727,9,17,14.6372687699331,5512.7096329167925,0.003328043351507536
47.0,f310a67521627ac2c45f4760e2fe3cd1565c8c577d01c82e96ae744757131ea6,0f522966f93a31dc056cc7aa97328805583b14d705420adc96cbdedae00427ca,0.029999998949379127,0.024804977402630903,0.005327515257224173,0.005313361749330817,0.005327161671633241,0.005313010039910434,9,17,14.41568214612327,5509.763400629386,0.003278566778389639
48.0,11f2f20437c95ba3048dff9629136d1fd6948ef113d5fa4fb2cfc6775081282b,415519593f7c6ecf2d7d0d04a23a9d7a4ca9fd63a8376663e20f8aa1a6ae84a4,0.029999967119431672,0.024852751837240034,0.00527853604271307,0.0052646412434353565,0.005278397997727293,0.005264503924240923,8,16,14.871735081293867,5888.401207032078,0.00322826523725496
48.0,155065898005c0ffdca5ee5bf37793e4eb499daf1c870877e9c1bcb13a027d14,e08fa61840c17eca08672820f80ced8eec603a074ee5ad9a596a9c3924aea71f,0.02999996717718395,0.024852741944218545,0.0052785460346570215,0.005264651182844493,0.0052784081485577625,0.005264514021702586,8,16,14.871267590292973,5888.398849277396,0.0032281555999698042
