case,gp_L_eta,step,eta_max,eta_integral,V_h_nm3,R_eff_h_nm,xB_min,xB_max,max_abs_delta_eta_vs_prev_sample,eta_rhs_chem_interface_mean,eta_rhs_elastic_interface_mean,eta_rhs_grad_interface_mean,eta_rhs_net_interface_mean,eta_evolution_drive_interface_mean,gp_minus_delta_mu_r_mean,gp_minus_delta_mu_r_min,gp_minus_delta_mu_r_max,xB_clip_count_high,xB_clip_count_low,gp_closure_error,dt_divJ_min,dt_divJ_max
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1750,0.0,0.0,0.0,0.0,0.03701,0.04363,0.0,nan,nan,nan,nan,nan,0.071025749269,-0.41260179476,167.32719896,0,0,-5.3881908821e-11,-4.437621814e-05,6.3088983658e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1750,-0.0,0.0,0.0,0.0,0.03701,0.04363,0.0,nan,nan,nan,nan,nan,0.071025749269,-0.41260179476,167.32719896,0,0,-5.3881908821e-11,-4.437621814e-05,6.3088983658e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1750,0.38287,4.155845039999999,0.19929079131751432,0.3623538450392195,0.03701,0.04363,3.16387,0.12303503394518481,0.0,0.0,0.12303177017852654,-0.12303177017852654,0.071025749269,-0.41260179476,167.32719896,0,0,-5.3881908821e-11,-4.437621814e-05,6.3088983658e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2000,1.0,67.61773931000002,35.105444228819,2.0312433409568214,0.03701,0.04365,4.13998,0.010516726674045764,0.0,0.0,0.01051467994904246,-0.01051467994904246,0.066571593847,-0.42268537064,167.67221437,0,0,1.1456389333e-10,-4.6507218505e-05,6.292437415e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2000,0.0,0.0,0.0,0.0,0.03701,0.04365,1.0,nan,nan,nan,nan,nan,0.066571593847,-0.42268537064,167.67221437,0,0,1.1456389333e-10,-4.6507218505e-05,6.292437415e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2000,-0.0,0.0,0.0,0.0,0.03701,0.04365,0.0,nan,nan,nan,nan,nan,0.066571593847,-0.42268537064,167.67221437,0,0,1.1456389333e-10,-4.6507218505e-05,6.292437415e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2000,0.36421,4.08925814,0.2034109892810954,0.3648339687354431,0.03701,0.04365,2.73563,0.12314476121562952,0.0,0.0,0.12314143511818619,-0.12314143511818619,0.066571593847,-0.42268537064,167.67221437,0,0,1.1456389333e-10,-4.6507218505e-05,6.292437415e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2000,0.36421,4.089616770000001,0.20342842523965893,0.36484439270226926,0.03701,0.04365,1.0000000000010001e-05,0.12305578567996156,0.0,0.0,0.12305243392599712,-0.12305243392599712,0.066571593847,-0.42268537064,167.67221437,0,0,1.1456389333e-10,-4.6507218505e-05,6.292437415e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2000,0.36421,4.08925814,0.2034109892810954,0.3648339687354431,0.03701,0.04365,1.0000000000010001e-05,0.12314476121562952,0.0,0.0,0.12314143511818619,-0.12314143511818619,0.066571593847,-0.42268537064,167.67221437,0,0,1.1456389333e-10,-4.6507218505e-05,6.292437415e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,2000,0.0,0.0,0.0,0.0,0.03701,0.04365,2.73563,nan,nan,nan,nan,nan,0.066571593847,-0.42268537064,167.67221437,0,0,1.1456389333e-10,-4.6507218505e-05,6.292437415e-05
