r_nm_lo,r_nm_hi,count,eta,xB,eta_rhs_chem,eta_rhs_dw,eta_rhs_elastic,eta_rhs_grad,eta_rhs_net_explicit,eta_rhs_full_variational,eta_evolution_drive
1.8,1.85,2400,0.00022376249999999994,0.04857,-0.000442525,0.0,0.0,0.0,-0.000442525,-0.000442525,0.000442525
1.85,1.9000000000000001,1839,0.00017867862969004898,0.048569999999999995,-0.00029557911908646,0.0,0.0,0.0,-0.00029557911908646,-0.00029557911908646,0.00029557911908646
1.9000000000000001,1.9500000000000002,2519,0.00012479158396188966,0.04857000000000001,-0.00019554188169908695,0.0,0.0,0.0,-0.00019554188169908695,-0.00019554188169908695,0.00019554188169908695
1.9500000000000002,2.0,2274,4.596306068601583e-05,0.04857,-1.9973614775725593e-05,0.0,0.0,0.0,-1.9973614775725593e-05,-1.9973614775725593e-05,1.9973614775725593e-05
2.0,2.0500000000000003,2760,4.310869565217392e-05,0.04857,-2.9065217391304347e-05,0.0,0.0,0.0,-2.9065217391304347e-05,-2.9065217391304347e-05,2.9065217391304347e-05
2.0500000000000003,2.1,2597,2.1455525606469004e-05,0.04857,-1.986907970735464e-06,0.0,0.0,0.0,-1.986907970735464e-06,-1.986907970735464e-06,1.986907970735464e-06
2.1,2.15,3117,1.9172281039461023e-05,0.04857,-7.122232916265641e-06,0.0,0.0,0.0,-7.122232916265641e-06,-7.122232916265641e-06,7.122232916265641e-06
2.15,2.2,2571,3.081680280046675e-05,0.04857,-2.80046674445741e-05,0.0,0.0,0.0,-2.80046674445741e-05,-2.80046674445741e-05,2.80046674445741e-05
2.2,2.25,3411,2.6745822339489888e-05,0.04856999999999999,-5.6218117854001754e-05,0.0,0.0,0.0,-5.6218117854001754e-05,-5.6218117854001754e-05,5.6218117854001754e-05
2.25,2.3000000000000003,2955,2.903553299492386e-06,0.04857000000000001,-3.7563451776649743e-07,0.0,0.0,0.0,-3.7563451776649743e-07,-3.7563451776649743e-07,3.7563451776649743e-07
2.3000000000000003,2.35,3647,1.0183712640526462e-05,0.04857,-7.608993693446669e-06,0.0,0.0,0.0,-7.608993693446669e-06,-7.608993693446669e-06,7.608993693446669e-06
