xB,mu_A_raw,mu_B_raw,mu_GP0_raw,minus_Delta_mu_r_GP_raw,mu_B_minus_mu_A_raw
0.07866866866866866,-152933.83278394924,-143954.26887958174,-150351.39498393127,560.4095665106433,8979.563904367504
0.07915915915915915,-152934.4468793676,-143947.1010275548,-150351.39498393127,562.5191526981362,8987.345851812803
0.07964964964964964,-152935.04835807503,-143940.12752199452,-150351.39498393127,564.5689184844086,8994.920836080506
0.08014014014014013,-152935.6372217142,-143933.34580278298,-150351.39498393127,566.5597588430101,9002.291418931214
0.08063063063063063,-152936.21347193044,-143926.75335666636,-150351.39498393127,568.4925523432612,9009.460115264083
0.08112112112112112,-152936.77711037183,-143920.347716118,-150351.39498393127,570.3681615482783,9016.42939425382
0.0816116116116116,-152937.32813868893,-143914.1264582359,-150351.39498393127,572.1874334008899,9023.201680453029
0.0821021021021021,-152937.86655853497,-143908.087203673,-150351.39498393127,573.9511995979701,9029.779354861967
0.08259259259259258,-152938.39237156592,-143902.2276155994,-150351.39498393127,575.6602769536257,9036.164755966514
0.08308308308308308,-152938.9055794403,-143896.54539869569,-150351.39498393127,577.315467751585,9042.36018074461
0.08357357357357356,-152939.40618381937,-143891.03829817503,-150351.39498393127,578.9175600874005,9048.367885644344
0.08406406406406405,-152939.89418636705,-143885.7040988349,-150351.39498393127,580.467328200466,9054.190087532159
0.08455455455455456,-152940.3695887499,-143880.5406241356,-150351.39498393127,581.9655327963701,9059.82896461428
0.08504504504504504,-152940.83239263715,-143875.54573530587,-150351.39498393127,583.4129213600536,9065.286657331279
0.08553553553553553,-152941.28259970076,-143870.71733047406,-150351.39498393127,584.8102284598572,9070.565269226703
0.08602602602602602,-152941.7202116154,-143866.05334382405,-150351.39498393127,586.158176042838,9075.666867791355
0.08651651651651651,-152942.14523005835,-143861.55174477532,-150351.39498393127,587.4574737219955,9080.593485283025
0.08700700700700699,-152942.55765670963,-143857.2105371864,-150351.39498393127,588.7088190547656,9085.347119523241
0.0874974974974975,-152942.95749325203,-143853.02775857988,-150351.39498393127,589.9128978144727,9089.929734672158
0.08798798798798797,-152943.34474137097,-143849.00147939037,-150351.39498393127,591.0703842535149,9094.343261980597
0.08847847847847848,-152943.71940275462,-143845.12980223208,-150351.39498393127,592.1819413595367,9098.589600522537
0.08896896896896897,-152944.08147909387,-143841.41086118753,-150351.39498393127,593.2482211046154,9102.670617906348
0.08945945945945945,-152944.4309720824,-143837.8428211154,-150351.39498393127,594.2698646873469,9106.588150967
0.08994994994994995,-152944.76788341653,-143834.4238769774,-150351.39498393127,595.2475027684122,9110.344006439118
0.09044044044044043,-152945.0922147954,-143831.1522531835,-150351.39498393127,596.1817557000322,9113.939961611904
0.09093093093093092,-152945.4039679209,-143828.0262029548,-150351.39498393127,597.0732337484951,9117.377764966106
0.09142142142142141,-152945.70314449756,-143825.04400770343,-150351.39498393127,597.9225373116496,9120.65913679413
