family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1-1,face,0.632865,1.0817207100e-01,0.0,2.9807534619e-02,0.0,1
-1-1-1,face,0.682865,9.3111934318e-02,0.0,2.9874231268e-02,0.0,1
-1-1-1,face,0.732865,7.9960537360e-02,0.0,2.9918660688e-02,0.0,1
-1-1-1,face,0.782865,6.8526321857e-02,0.0,2.9947868430e-02,0.0,1
-1-1-1,face,0.832865,5.8622995544e-02,0.0,2.9966850018e-02,0.0,1
-1-1-1,face,0.882865,5.0073944927e-02,0.0,2.9979063531e-02,0.0,1
-1-1-1,face,0.932865,4.2715041142e-02,0.0,2.9986854871e-02,0.0,1
-1-1-1,face,0.982865,3.6396171032e-02,0.0,2.9991788494e-02,0.0,1
-1-1-1,face,1.032865,3.0981803763e-02,0.0,2.9994892740e-02,0.0,1
-1-1-1,face,1.082865,2.6350862587e-02,0.0,2.9996835312e-02,0.0,1
-1-1-1,face,1.132865,2.2396123527e-02,0.0,2.9998045274e-02,0.0,1
-1-1-1,face,1.182865,1.9023315508e-02,0.0,2.9998795920e-02,0.0,1
-1-1-1,face,1.232865,1.6150053971e-02,0.0,2.9999260031e-02,0.0,1
-1-1-1,face,1.282865,1.3704704005e-02,0.0,2.9999546152e-02,0.0,1
-1-1-1,face,1.332865,1.1625240090e-02,0.0,2.9999722109e-02,0.0,1
-1-1-1,face,1.382865,9.8581469883e-03,0.0,2.9999830092e-02,0.0,1
-1-1-1,face,1.432865,8.3573893878e-03,0.0,2.9999896241e-02,0.0,1
-1-1-1,face,1.482865,7.0834655559e-03,0.0,2.9999936703e-02,0.0,1
-1-1-1,face,1.532865,6.0025515651e-03,0.0,2.9999961420e-02,0.0,1
-1-1-1,face,1.582865,5.0857367159e-03,0.0,2.9999976503e-02,0.0,1
-1-1-1,face,1.632865,4.3083469447e-03,0.0,2.9999985698e-02,0.0,1
-1-1-1,face,1.682865,3.6493506702e-03,0.0,2.9999991300e-02,0.0,1
-1-1-1,face,1.732865,3.0908402686e-03,0.0,2.9999994710e-02,0.0,1
-1-1-1,face,1.782865,2.6175818457e-03,0.0,2.9999996784e-02,0.0,1
-1-1-1,face,1.832865,2.2166259395e-03,0.0,2.9999998046e-02,0.0,1
-1-1-1,face,1.882865,1.8769720684e-03,0.0,2.9999998813e-02,0.0,1
-1-1-1,face,1.932865,1.5892805045e-03,0.0,2.9999999279e-02,0.0,1
-1-1-1,face,1.982865,1.3456252132e-03,0.0,2.9999999562e-02,0.0,1
-1-1-1,face,2.032865,1.1392825023e-03,0.0,2.9999999734e-02,0.0,1
-1-1-1,face,2.082865,9.6455051825e-04,0.0,2.9999999839e-02,0.0,1
-1-1-1,face,2.132865,8.1659530471e-04,0.0,2.9999999902e-02,0.0,1
