base_case_tag,case_dir,radius_nominal,r_eff_nm,voxel_count,mean_h,DeltaG_surf_kBT,DeltaG_chem_kBT,DeltaG_el_kBT,DeltaG_total_kBT,is_saddle_candidate,warnings
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.438nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r2p438315,2.438315,2.432429258280426,60285,0.000948807407,1592.961961724832,-1507.5625764802862,192.91749916082438,278.31687889022805,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.538nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r2p538315,2.538315,2.5324662773307396,68033,0.00107039774,1726.708551557731,-1700.7577773821488,217.76499720478512,243.71576035619861,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.638nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r2p638315,2.638315,2.632607218206805,76427,0.00120195602,1865.8543780876405,-1909.7910646617158,244.6615774983508,200.72489091815947,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.679nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_r1p679465,1.679465,1.669996136719962,19509,0.000310042698,753.6296991271338,-492.62765613888445,71.40342352766955,332.40546100077677,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.779nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_r1p779465,1.779465,1.7715527039838728,23289,0.000368788174,846.4642587759575,-585.9684980387631,84.94926475372343,345.44502273028695,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.879nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_r1p879465,1.879465,1.8704470718121649,27411,0.000434521593,944.6777240610519,-690.412498283429,100.10374159446852,354.36898389305236,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.979nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_r1p979465,1.979465,1.9717646385718506,32111,0.000507635653,1048.2718826613784,-806.5836201844965,116.95717453245237,358.64542047613844,1,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.079nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_r2p079465,2.079465,2.071475528070771,37233,0.000588523055,1157.2486709996042,-935.1058242990658,135.59999423073472,357.742821643568,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.179nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_r2p179465,2.179465,2.1728460175800395,42971,0.000677576496,1271.610014480343,-1076.6030711842382,156.12274153290826,351.12967655935756,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.279nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_r2p279465,2.279465,2.272689700545874,49171,0.000775188676,1391.357918389087,-1231.6993213971148,178.61639800464425,338.2749977450143,0,
