step,registered_age_h,age_h,radius_bin_left_nm,radius_bin_right_nm,radius_bin_center_nm,count,number_fraction,n_of_R_nm^-4,M6_bin_contribution_nm^3
58128,22,22.000153363413332,2.0,4.0,3.0,0,0.0,0.0,0.0
58128,22,22.000153363413332,4.0,6.0,5.0,0,0.0,0.0,0.0
58128,22,22.000153363413332,6.0,8.0,7.0,2,0.1,6.717298979454201e-08,0.021463826898747002
58128,22,22.000153363413332,8.0,10.0,9.0,0,0.0,0.0,0.0
58128,22,22.000153363413332,10.0,12.0,11.0,1,0.05,3.3586494897271006e-08,0.1822331432573642
58128,22,22.000153363413332,12.0,14.0,13.0,4,0.2,1.3434597958908403e-07,1.1937767910043238
58128,22,22.000153363413332,14.0,16.0,15.0,2,0.1,6.717298979454201e-08,2.006702284726625
58128,22,22.000153363413332,16.0,18.0,17.0,4,0.2,1.3434597958908403e-07,6.70013754991945
58128,22,22.000153363413332,18.0,20.0,19.0,5,0.25,1.67932474486355e-07,14.142977597885945
58128,22,22.000153363413332,20.0,22.0,21.0,2,0.1,6.717298979454201e-08,9.298460869249656
58128,22,22.000153363413332,22.0,24.0,23.0,0,0.0,0.0,0.0
58128,22,22.000153363413332,24.0,26.0,25.0,0,0.0,0.0,0.0
58128,22,22.000153363413332,26.0,28.0,27.0,0,0.0,0.0,0.0
58128,22,22.000153363413332,28.0,30.0,29.0,0,0.0,0.0,0.0
61761,23,23.000162948626667,0.0,2.0,1.0,0,0.0,0.0,0.0
61761,23,23.000162948626667,2.0,4.0,3.0,0,0.0,0.0,0.0
61761,23,23.000162948626667,4.0,6.0,5.0,0,0.0,0.0,0.0
61761,23,23.000162948626667,6.0,8.0,7.0,0,0.0,0.0,0.0
61761,23,23.000162948626667,8.0,10.0,9.0,0,0.0,0.0,0.0
61761,23,23.000162948626667,10.0,12.0,11.0,2,0.1111111111111111,6.717298979454201e-08,0.23676986885755882
61761,23,23.000162948626667,12.0,14.0,13.0,3,0.16666666666666666,1.0075948469181301e-07,0.6781612226464715
61761,23,23.000162948626667,14.0,16.0,15.0,2,0.1111111111111111,6.717298979454201e-08,1.9709806616425782
61761,23,23.000162948626667,16.0,18.0,17.0,3,0.16666666666666666,1.0075948469181301e-07,4.7354315435136005
