case_name,M_ratio,step,time_code,eta_max,eta_mean,eta_far_field,eta_max_minus_far,R_avg_nm,xB_min,xB_max,Y_min,Y_max,xBtot_initial,xBtot_final,xBtot_drift,xBtot_rel_drift,clipping_count_step,nan_inf_flag,eta_bulk_rhs_absmax,phi_chem_rhs_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax
gp_eta_S218b_Mratio_1,1.0,83,0.0083,nan,nan,6.4995228272e-272,nan,nan,0.028461423527,0.030520570776,nan,nan,nan,nan,nan,2.8638689726e-05,0,0,0.0,1.1484708195,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,84,0.0084,nan,nan,5.7946342808e-279,nan,nan,0.028514839148,0.030710691981,nan,nan,nan,nan,nan,2.7509161059e-05,0,0,0.0,1.1494145491,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,85,0.0085,nan,nan,6.0394556902e-279,nan,nan,0.028480668923,0.030881230838,nan,nan,nan,nan,nan,2.6523160587e-05,0,0,0.0,1.1504873569,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,86,0.0086,nan,nan,5.3868412349e-286,nan,nan,0.0284336833,0.031029806801,nan,nan,nan,nan,nan,2.5664695269e-05,0,0,0.0,1.1516584962,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,87,0.0087,nan,nan,5.6120131461e-286,nan,nan,0.02839545072,0.03115474768,nan,nan,nan,nan,nan,2.4919480693e-05,0,0,0.0,1.1529213794,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,88,0.0088,nan,nan,5.007538672e-293,nan,nan,0.028366383696,0.03125511979,nan,nan,nan,nan,nan,2.4275580184e-05,0,0,0.0,1.1542604263,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,89,0.0089,nan,nan,5.2148713569e-293,nan,nan,0.028346823681,0.031330713829,nan,nan,nan,nan,nan,2.3723721401e-05,0,0,0.0,1.1556614622,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,90,0.009,nan,nan,4.6547795348e-300,nan,nan,0.0283370227,0.031381990823,nan,nan,nan,nan,nan,2.3257284786e-05,0,0,0.0,1.157108659,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,91,0.0091,nan,nan,4.8458738254e-300,nan,nan,0.028337125051,0.03140999608,nan,nan,nan,nan,nan,2.2872025724e-05,0,0,0.0,1.1585848635,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,92,0.0092,nan,nan,4.3267359278e-307,nan,nan,0.028347149749,0.031416251228,nan,nan,nan,nan,nan,2.2565587433e-05,0,0,0.0,1.16007765,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,93,0.0093,nan,nan,4.5030190271e-307,nan,nan,0.028366974511,0.031402635088,nan,nan,nan,nan,nan,2.2336902098e-05,0,0,0.0,1.1615699095,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,94,0.0094,nan,nan,4.021700419e-314,nan,nan,0.028396322152,0.03137126337,nan,nan,nan,nan,nan,2.2185548778e-05,0,0,0.0,1.163036728,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,95,0.0095,nan,nan,4.184449012e-314,nan,nan,0.028434750336,0.031324375482,nan,nan,nan,nan,nan,2.2111147221e-05,0,0,0.0,1.1644595038,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,96,0.0096,nan,nan,3.74e-321,nan,nan,0.028481645612,0.031264234499,nan,nan,nan,nan,nan,2.2112835961e-05,0,0,0.0,1.1658203773,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,97,0.0097,nan,nan,3.89e-321,nan,nan,0.02853622268,0.031193043942,nan,nan,nan,nan,nan,2.2188868303e-05,0,0,0.0,1.1671026123,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,98,0.0098,nan,nan,-0.0,nan,nan,0.028597529668,0.031112882902,nan,nan,nan,nan,nan,2.2336346585e-05,0,0,0.0,1.1682965828,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,99,0.0099,nan,nan,0.0,nan,nan,0.028664460043,0.031025659309,nan,nan,nan,nan,nan,2.2551081166e-05,0,0,0.0,1.1694307278,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,100,0.01,nan,nan,0.0,nan,0.229065053,0.028735771458,0.030933079894,nan,nan,nan,nan,nan,2.2827577875e-05,0,0,0.0,1.1704454601,0.0,0.0
