CV48,CV6,J_abs,J_delta,J_relative,N48_equivalent,N6_equivalent,PF_coarsening_compatible,R48_nm,R48_over_R6,R6_nm,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,classification,delta_kappa_W_mK,kappa48_W_mK,kappa6_W_mK,relative_change
0.0,0.0,0.3830479682774963,0.04447876617664442,0.05524249299632371,2.3665154258860475,680363.7188805351,False,33.0,66.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03089989610392041,1.2968591727383691,1.3277590688422896,-0.023272216194209765
0.0,0.0,0.3831036442505218,0.04443210748785312,0.055203326884044786,2.1637865067185755,680363.7188805351,False,34.0,68.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.030789248985457318,1.2969698198568322,1.3277590688422896,-0.023188882462164863
0.0,0.0,0.38316100759263394,0.04438408052740137,0.05516300525460561,1.9835676935292568,680363.7188805351,False,35.0,70.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03067529643363831,1.2970837724086512,1.3277590688422896,-0.023103059247326373
0.0,0.0,0.3832198746891399,0.04433484283894294,0.055121659795229996,1.8228194628786627,680363.7188805351,False,36.0,72.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03055840719131342,1.2972006616509761,1.3277590688422896,-0.02301502426788781
0.0,0.0,0.38328008040063216,0.04428453602078645,0.05507940887864456,1.678981794959171,680363.7188805351,False,37.0,74.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.030438912800808904,1.2973201560414807,1.3277590688422896,-0.022925027224517055
0.0,0.0,0.38334147578783756,0.044233287668677665,0.0550363591883921,1.5498881917930254,680363.7188805351,False,38.0,76.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03031711216322286,1.2974419566790667,1.3277590688422896,-0.02283329323418382
0.0,0.0,0.38340392617495034,0.044181213033110595,0.05499260710479042,1.433696873852676,680363.7188805351,False,39.0,78.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.030193275423146204,1.2975657934191434,1.3277590688422896,-0.02274002575593219
0.0,0.0,0.3834673094932024,0.0441284164397892,0.05494823989237967,1.328835388438545,680363.7188805351,False,40.0,80.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03006764729436373,1.2976914215479258,1.3277590688422896,-0.022645409095627986
0.0,0.0,0.38353151485766457,0.044074992512561306,0.05490333672187648,1.2339557589133483,680363.7188805351,False,41.0,82.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02994044991987921,1.2978186189224103,1.3277590688422896,-0.02254961055998294
0.0,0.0,0.383596441339118,0.04402102723080889,0.054857969553481996,1.147897970792394,680363.7188805351,False,42.0,84.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02981188534210566,1.297947183500184,1.3277590688422896,-0.022452782316975232
0.0,0.0,0.3836619968998535,0.043966598847447795,0.0548122039034894,1.0696600910620055,680363.7188805351,False,43.0,86.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02968213764516947,1.29807693119712,1.3277590688422896,-0.02235506300932304
0.0,0.0,0.38372809746785314,0.04391177868902854,0.05476609951221797,0.9983736952956762,680363.7188805351,False,44.0,88.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.02955137482018233,1.2982076940221072,1.3277590688422896,-0.02225657915931164
0.0,0.0,0.3837946661282964,0.04385663185568778,0.05471971092815822,0.9332835649938753,680363.7188805351,False,45.0,90.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.029419750395438538,1.298339318446851,1.3277590688422896,-0.022157446396574375
