CV48,CV6,J_abs,J_delta,J_relative,M6_48h_nm6_per_nm3,M6_6h_nm6_per_nm3,N48_equivalent,N6_equivalent,PF_coarsening_compatible,R48_nm,R48_over_R6,R6_nm,Sv48_nm_inv,Sv6_nm_inv,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,delta_kappa_W_mK,kappa48_W_mK,kappa6_W_mK,mathematical_combination,matrix_xAg,refinement_reason,relative_change,scan_grid
0.5,0.0,0.3550503655150845,0.02584108515102978,0.03878238383608349,665052.5777504478,369.74515075010027,0.005442909751044292,1.3139974139726192,True,200.0,4.981320049813201,40.15,0.0002297236353811553,0.001788010860687696,356237.61016735336,False,0.0192483743440528,1.3169587806122225,1.2977104062681697,True,0.0062,maximum_positive_delta,0.014832565301996318,local_refine
0.5,0.0,0.35499364080264384,0.025841341164812955,0.03878248316752341,657103.8267778099,362.8812468478279,0.005508750691873608,1.338851693590779,True,199.2,4.992481203007519,39.9,0.0002306462202622041,0.0017992139362559146,356237.61016735336,False,0.019247578043710467,1.3169263626624506,1.29767878461874,True,0.0062,maximum_positive_delta,0.014832313105408003,local_refine
0.5,0.0,0.3550158892228684,0.025841488393420573,0.03878267904557611,660077.1427617068,365.6165211595107,0.0054839365369478334,1.328835388438545,True,199.5,4.9875,40.0,0.00023029938384075706,0.0017947159014152746,356237.61016735336,False,0.019247120108470295,1.3169385416563961,1.2976914215479258,True,0.0062,maximum_positive_delta,0.014831815783687422,local_refine
0.5,0.0,0.3550381433297933,0.025841649257809213,0.03878288786301959,663059.4145098781,368.3655060907369,0.005459271192266776,1.3189187474976913,True,199.8,4.982543640897756,40.1,0.00022995358897012525,0.0017902403006636158,356237.61016735336,False,0.01924661976241615,1.3169506939154378,1.2977040741530217,True,0.0062,maximum_positive_delta,0.014831285611072715,local_refine
0.5,0.0,0.3549814182408505,0.025841926855392862,0.03878300766954664,655126.5848959505,361.5187404628939,0.005525376688796666,1.3438976117599488,True,199.0,4.993726474278544,39.85,0.0002308780255086988,0.001801471419237415,356237.61016735336,False,0.019245756337840758,1.3169182284367897,1.297672472098949,True,0.0062,maximum_positive_delta,0.014830981431478842,local_refine
0.5,0.0,0.35500366610906486,0.025842065793979376,0.03878319568147117,658093.9378521715,364.24717231851076,0.005500462703256476,1.333831004979521,True,199.3,4.988735919899875,39.95,0.00023053049210351758,0.0017969621040453316,356237.61016735336,False,0.019245324192484592,1.316930425303093,1.2976851011106083,True,0.0062,maximum_positive_delta,0.01483050408455311,local_refine
0.5,0.0,0.3550259197639042,0.025842218421469297,0.038783396683572634,661070.2375944583,366.98929765539634,0.005475698276127322,1.3238646876584295,True,199.6,4.983770287141074,40.05,0.00023018400338793105,0.001792475307281173,356237.61016735336,False,0.01924484947141103,1.3169425953756004,1.2976977459041894,True,0.0062,maximum_positive_delta,0.014829993757908477,local_refine
0.5,0.0,0.3550481789907865,0.025842384641595946,0.038783610583621,664055.4975901251,369.74515075010027,0.005451082286844218,1.3139974139726192,True,199.9,4.978829389788294,40.15,0.0002298385546584844,0.001788010860687696,356237.61016735336,False,0.01924433247441648,1.3169547387425862,1.2977104062681697,True,0.0062,maximum_positive_delta,0.01482945068596427,local_refine
0.5,0.0,0.3549914416781596,0.025842648298189268,0.03878371715554408,656114.7092920002,362.8812468478279,0.005517055339760831,1.338851693590779,True,199.1,4.989974937343359,39.9,0.00023076206467217996,0.0017992139362559146,356237.61016735336,False,0.019243512422704168,1.3169222970414443,1.29767878461874,True,0.0062,maximum_positive_delta,0.014829180110513974,local_refine
0.5,0.0,0.35501369483619416,0.025842792658996337,0.03878391031389859,659085.0430138736,365.6165211595107,0.0054921913321569005,1.328835388438545,True,199.4,4.985,40.0,0.00023041488002121898,0.0017947159014152746,356237.61016735336,False,0.01924306341872417,1.31693448496665,1.2976914215479258,True,0.0062,maximum_positive_delta,0.014828689701724667,local_refine
