replicate,step,age_h,temperature_K,matrix_mode,registered_kappa_W_mK,hourly_recomputed_kappa_W_mK,relative_difference
B,152585,48,300,fixed_6h_matrix,2.2834517248225281,2.2834517248225277,1.9448154082809769e-16
B,152585,48,300,pf_time_varying_matrix,2.2732269419433591,2.2732269419433591,0
B,152585,48,350,fixed_6h_matrix,2.0040579862567651,2.0040579862567647,2.2159499021260593e-16
B,152585,48,350,pf_time_varying_matrix,1.9961080717097961,1.9961080717097957,2.2247753823753211e-16
B,152585,48,400,fixed_6h_matrix,1.785590419496452,1.7855904194964518,1.2435360455599292e-16
B,152585,48,400,pf_time_varying_matrix,1.779232281049566,1.7792322810495658,1.2479798578859394e-16
B,152585,48,450,fixed_6h_matrix,1.6101040599210501,1.6101040599210503,1.3790699026988295e-16
B,152585,48,450,pf_time_varying_matrix,1.604903091994933,1.6049030919949334,2.7670780377028814e-16
B,152585,48,500,fixed_6h_matrix,1.4660577322373221,1.4660577322373221,0
B,152585,48,500,pf_time_varying_matrix,1.4617243202114001,1.4617243202114001,0
B,152585,48,550,fixed_6h_matrix,1.345698115094264,1.3456981150942642,1.6500328151940484e-16
B,152585,48,550,pf_time_varying_matrix,1.3420318470293431,1.3420318470293431,0
B,152585,48,600,fixed_6h_matrix,1.2436259172185871,1.2436259172185868,1.7854613823234067e-16
B,152585,48,600,pf_time_varying_matrix,1.2404837013058829,1.2404837013058829,0
C,0,6,300,fixed_6h_matrix,2.286475423204215,2.2864754232042155,1.9422435305590385e-16
C,0,6,300,pf_time_varying_matrix,2.286475423204215,2.2864754232042155,1.9422435305590385e-16
C,0,6,350,fixed_6h_matrix,2.006850712518228,2.0068507125182284,2.2128661941814917e-16
C,0,6,350,pf_time_varying_matrix,2.006850712518228,2.0068507125182284,2.2128661941814917e-16
C,0,6,400,fixed_6h_matrix,1.7880964746586561,1.7880964746586563,1.2417932033975916e-16
C,0,6,400,pf_time_varying_matrix,1.7880964746586561,1.7880964746586563,1.2417932033975916e-16
C,0,6,450,fixed_6h_matrix,1.6123312196004029,1.6123312196004034,2.7543299072266603e-16
C,0,6,450,pf_time_varying_matrix,1.6123312196004029,1.6123312196004034,2.7543299072266603e-16
C,0,6,500,fixed_6h_matrix,1.468033606077259,1.4680336060772587,1.5125308031493773e-16
C,0,6,500,pf_time_varying_matrix,1.468033606077259,1.4680336060772587,1.5125308031493773e-16
C,0,6,550,fixed_6h_matrix,1.347454244258552,1.3474542442585524,3.2957646743279691e-16
