scenario,parameter_set,time_s,time_h,matrix_xB,g_number_density_m3,g_mean_radius_m,g_mean_radius_nm,g_mean_radius_cubed_m3,g_specific_surface_area_m_inv,g_volume_fraction,g_B_inventory_mol_m3,beta_number_density_m3,beta_mean_radius_m,beta_mean_radius_nm,beta_mean_radius_cubed_m3,beta_specific_surface_area_m_inv,beta_volume_fraction,beta_B_inventory_mol_m3,C_B_total_mol_m3,C_B_matrix_mol_m3,C_B_GP_mol_m3,C_B_beta_mol_m3,inventory_residual_mol_m3,inventory_relative_residual,matrix_Ag_at_fraction
effective_cnt,12,3600.0,1.0,0.00760773482606667,4.244477343580922e+23,1.0746073045991183e-09,1.0746073045991182,1.2523966713910317e-27,6177937.036356739,0.002226664236173967,5.846083664289008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,185.10070850328395,5.846083664289008,0.0,0.0,0.0,0.007578905673747846
effective_cnt,12,7200.0,2.0,0.007549630733883582,4.7285046853994135e+23,1.113300062510598e-09,1.113300062510598,1.4165509111002694e-27,7427587.910019632,0.002805721891769724,7.36639348292453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,183.58039868464843,7.36639348292453,0.0,0.0,0.0,0.007521239443653232
effective_cnt,12,14400.0,4.0,0.007494052447417398,3.9091216545576864e+23,1.2363690155223623e-09,1.2363690155223623,2.0513487925322978e-27,7711238.576785777,0.0033589791307156785,8.818964577482177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,182.1278275900908,8.818964577482177,0.0,0.0,0.0,0.00746607686162865
effective_cnt,12,21600.0,6.0,0.007426952816474832,2.9693643644789726e+23,1.4120202041493624e-09,1.4120202041493624,3.236930733136402e-27,7793648.987098506,0.004026108806314744,10.570506563526548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,180.37628560404642,10.570506563526548,0.0,0.0,0.0,0.007399475040478673
effective_cnt,12,28800.0,8.0,0.0073555865900660055,2.229445265747e+23,1.6271482450846661e-09,1.6271482450846662,5.0699669764267054e-27,7844177.5025877,0.004734679155419728,12.430850604449368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,178.5159415631236,12.430850604449368,0.0,0.0,0.0,0.007328633391317663
effective_cnt,12,57600.0,16.0,0.007157750284633588,1.2449471381070764e+23,2.2355371830812943e-09,2.2355371830812945,1.28358462897301e-26,8208559.769742293,0.00669366584668588,17.5741496741147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,173.37264249345827,17.5741496741147,0.0,0.0,0.0,0.00713222494207897
effective_cnt,12,86400.0,24.0,0.007095058086181625,9.596858381412784e+22,2.500277691478938e-09,2.5002776914789377,1.8191493316650504e-26,7953371.609412634,0.007312839581133195,19.19978383821705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,171.7470083293559,19.19978383821705,0.0,0.0,0.0,0.007069977136954291
effective_cnt,12,172800.0,48.0,0.0070239018895442255,5.6556430009366005e+22,3.0551115195341997e-09,3.0551115195342,3.3831027554398153e-26,7049176.423281048,0.008014672598724484,21.042439085713706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,169.90435308185926,21.042439085713706,0.0,0.0,0.0,0.006999320618883973
effective_cnt,13,0.0,0.0,0.007830537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,0.0,0.0,0.0,0.0,0.007799997913867769
effective_cnt,13,1800.0,0.5,0.006682235300217338,1.7032035140603944e+23,3.1983926295423823e-09,3.1983926295423823,3.470255810939279e-26,22359290.29212579,0.024758061869589797,32.0354286808408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,158.91136348673217,32.0354286808408,0.0,0.0,0.0,0.006659983511756775
effective_cnt,13,3600.0,1.0,0.005953904530241158,1.663811894923125e+23,3.768084651721552e-09,3.7680846517215523,5.715841668540426e-26,30384508.601509105,0.039835752392659365,51.54504465836916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,139.4017475092038,51.54504465836916,0.0,0.0,0.0,0.005936232649010403
effective_cnt,13,7200.0,2.0,0.005922826743222162,1.5056966406877196e+23,3.8536416727723865e-09,3.8536416727723863,6.416433742581389e-26,29266221.992871344,0.04046875136774439,52.36410689467002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,138.58268527290295,52.36410689467002,0.0,0.0,0.0,0.005905338594544386
effective_cnt,13,14400.0,4.0,0.005888222323637631,1.0636460006907638e+23,4.285376657311013e-09,4.285376657311013,9.241076689690904e-26,25998702.19405865,0.0411726002016832,53.27484454612713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,137.67194762144584,53.27484454612713,0.0,0.0,0.0,0.005870937630628953
effective_cnt,13,21600.0,6.0,0.005855769177336767,7.772727314679464e+22,4.7564053417855835e-09,4.756405341785584,1.2848251877552135e-25,23548778.93240904,0.04183175479795141,54.12775056799695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,136.81904159957602,54.12775056799695,0.0,0.0,0.0,0.005838674213090005
effective_cnt,13,28800.0,8.0,0.005831239941848331,6.0323838490478664e+22,5.185112525346991e-09,5.185112525346991,1.6751904435810763e-25,21771270.233779836,0.04232936608657727,54.77162935913671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,136.17516280843626,54.77162935913671,0.0,0.0,0.0,0.005814287688546906
effective_cnt,13,57600.0,16.0,0.0057771606420605704,3.1520143162653245e+22,6.478013224151124e-09,6.478013224151124,3.288964857602746e-25,17802031.764099542,0.04342461970480183,56.188821034271946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.75797113330103,56.188821034271946,0.0,0.0,0.0,0.005760520914707462
effective_cnt,13,86400.0,24.0,0.0057504521090282,2.1369975190434236e+22,7.3996879577978456e-09,7.399687957797846,4.9114606108539425e-25,15759894.882985104,0.04396461685438262,56.88754455569996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.059247611873,56.88754455569996,0.0,-2.842170943040401e-14,1.4884622625899578e-16,0.005733965661562386
effective_cnt,13,172800.0,48.0,0.005712510860751425,1.093665466380332e+22,9.298089989968093e-09,9.298089989968092,9.764102017520994e-25,12744995.716892725,0.044730671379405104,57.87877259411668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,133.0680195734563,57.87877259411668,0.0,2.842170943040401e-14,1.4884622625899578e-16,0.005696240941629168
effective_cnt,18,0.0,0.0,0.007830537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,0.0,0.0,0.0,0.0,0.007799997913867769
effective_cnt,18,1800.0,0.5,0.005556220732689259,6.19726045709714e+24,1.0958266975776637e-09,1.0958266975776638,1.3660667401504832e-27,94577412.49040169,0.03546175915546662,60.26359162008284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,130.68320054749012,60.26359162008284,0.0,0.0,0.0,0.005540827701812723
effective_cnt,18,3600.0,1.0,0.005715540607850642,3.2936332666004566e+24,1.2450127324277792e-09,1.2450127324277793,2.396268054230637e-27,68747005.37378299,0.03305972584861919,56.181584474665286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.76520769290767,56.181584474665286,0.0,-2.842170943040401e-14,1.4884622625899578e-16,0.005699253450585016
effective_cnt,18,7200.0,2.0,0.0056982894233343255,1.343573517358165e+24,1.727852039648438e-09,1.727852039648438,5.920523485110104e-27,52774213.98683904,0.0333203958731713,56.624566218417385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.32222594915558,56.624566218417385,0.0,0.0,0.0,0.00568210029732105
effective_cnt,18,14400.0,4.0,0.005700429045877868,9.151945333833607e+23,1.8378984199039604e-09,1.8378984199039605,8.68333650692861e-27,43521321.50013253,0.03328807323766544,56.569637242737684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.37715492483528,56.569637242737684,0.0,0.0,0.0,0.005684227777315271
effective_cnt,18,21600.0,6.0,0.005697191572561828,5.395448563287728e+23,2.196673802334923e-09,2.196673802334923,1.4750613639532577e-26,36856441.328839704,0.03333697993620205,56.65274911812931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.29404304944364,56.65274911812931,0.0,-2.842170943040401e-14,1.4884622625899578e-16,0.005681008675187862
effective_cnt,18,28800.0,8.0,0.005696228181824452,3.894099315127788e+23,2.499990927478882e-09,2.499990927478882,2.0446555709089088e-26,33803324.2354703,0.03335153238586007,56.67747950105865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.2693126665143,56.67747950105865,0.0,0.0,0.0,0.005680050749248421
effective_cnt,18,57600.0,16.0,0.005694996875020154,2.7197867687608408e+23,2.9264722871118755e-09,2.9264722871118756,2.929101680803762e-26,30932101.470205616,0.03337013119014624,56.70908624513499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.23770592243798,56.70908624513499,0.0,0.0,0.0,0.005678826425646237
effective_cnt,18,86400.0,24.0,0.00569482546078932,2.4320797036838995e+23,2.9882521205817287e-09,2.9882521205817287,3.275858968020794e-26,29410549.095491517,0.03337272033351826,56.713486226482026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.23330594109095,56.713486226482026,0.0,0.0,0.0,0.0056786559834505115
effective_cnt,18,172800.0,48.0,0.005693566972033442,1.5852132158985547e+23,3.5501143371775185e-09,3.5501143371775186,5.028779714934957e-26,26246532.007185016,0.0333917288779176,56.74578928149834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,134.20100288607463,56.74578928149834,0.0,0.0,0.0,0.005677404630288502
effective_cnt,30,0.0,0.0,0.007830537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,0.0,0.0,0.0,0.0,0.007799997913867769
effective_cnt,30,1800.0,0.5,0.007830537,18008.483597741113,2.6843284831891897e-09,2.68432848318919,1.9343978891962098e-26,1.630689653554139e-12,1.4591890553254162e-21,3.384481414943533e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,3.384481414943533e-18,0.0,0.0,0.0,0.007799997913867769
effective_cnt,30,3600.0,1.0,0.007830537,36016.96719548221,2.6825831191717042e-09,2.6825831191717042,1.9310373760381838e-26,3.2573713320549764e-12,2.91330818781039e-21,6.7572035177088045e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,6.7572035177088045e-18,0.0,0.0,0.0,0.007799997913867769
effective_cnt,30,7200.0,2.0,0.007830537,72033.93439096445,2.678372063062972e-09,2.6783720630629717,1.9231810148936256e-26,6.495694364136057e-12,5.802910981273837e-21,1.3459424121237757e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,1.3459424121237757e-17,0.0,0.0,0.0,0.007799997913867769
effective_cnt,30,14400.0,4.0,0.007830537,144062.15186297434,2.666135151859529e-09,2.666135151859529,1.9023565310918536e-26,1.2885052764457444e-11,1.147969687716772e-20,2.6626310407252083e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,2.6626310407252083e-17,0.0,0.0,0.0,0.007799997913867769
