parameter_set,mode,status,gamma_g_J_m2,xB_g,xeq_g_infinity,site_density_g_m3,attachment_prefactor_s_inv,D_scale_g,elastic_penalty_J_m3,N_g_6h_m3,N_g_48h_m3,matrix_Ag_6h,peak_time_h,peak_N_g_m3,failure_reason,config_sha256
40,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.004395037080955443,0.023536269144688822,0.007024545884453368,4.33103306099646e+28,1.4955146087765088e-05,0.026636191933501044,6861205.020461542,3.4536707234310207e+22,5.784307548850748e+21,0.007472389023993919,0.5,1.9304223562778344e+23,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
41,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0014779201557530049,0.06772617900625644,0.0064369771714182684,3.1146509157199136e+26,0.00026826892994698324,0.0010693127994796754,3426781.162842663,nan,nan,nan,nan,nan,"RadiusGridError: Radius 1.316462e-07 m is outside [1.000000e-09, 1.280000e-07) m",66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
42,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.001197440572395459,0.06525263808243088,0.004650210949936921,2.6272277436359717e+26,0.0001963269286156976,0.0017842521855015747,4627813.661006539,nan,nan,nan,nan,nan,"RadiusGridError: Radius 8.118668e-07 m is outside [1.000000e-09, 1.280000e-07) m",66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
43,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.005263579852402336,0.0707705745838233,0.004699649450313677,2.9017292662279033e+29,0.7569955365345413,0.009455200966469445,5946496.539210283,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-8.121871e+03,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
44,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.005503583211017363,0.010001140641313959,0.00569965554774951,6.211645708545388e+27,0.0005414946535474944,0.0038431701664903167,7727041.8388796495,1.4531217268672807e+24,1.8327735671457298e+23,0.006153990114950536,0.5,2.055402315805737e+25,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
45,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.003395135794161488,0.1015126006695579,0.005389892981254772,3.7937813524981026e+26,18.15733219107855,0.008475365475450886,3561781.9557571406,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-2.632670e+02,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
46,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.011182670979455455,0.03626299025588054,0.004992680558939241,2.8107597151785906e+27,0.014781946320138056,0.002012012249982644,1880288.588986074,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-8.04455244552850085e-02; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
47,effective_cnt,FEASIBLE,0.0018366636892788134,0.0985849139411075,0.006024691643659227,1.7842542343858298e+26,1.7356181846790133e-05,0.0031365193932353453,4081464.9989437615,4.538018402301813e+23,2.3861491175765043e+23,0.006298200093532413,6.0,4.538018402301813e+23,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
48,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.017118370643942116,0.05958777488534399,0.005130973675002523,2.2550639203477202e+29,0.00048006885614655507,0.011940577368483508,687202.2629453237,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-5.42499174624555547e-03; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
49,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.008749183826102343,0.08539652367627833,0.006467699141128624,5.074308512178841e+26,27.641441962323285,0.005709364190440051,5773618.287474299,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-2.045221e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
50,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.01273359562260898,0.033101102063986525,0.0051928846582482615,1.307139011490835e+28,0.00013806936991504198,0.023734323471592326,2878603.0716934106,1.553892520529423e+23,2.0120165196172794e+22,0.0055128899235851415,0.5,2.587327056954432e+24,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
