T_K,omega_rad_s,frequency_THz,phonon_phonon_rate_s-1,boundary_rate_s-1,point_defect_rate_s-1,small_precipitate_rate_s-1,big_precipitate_rate_s-1,total_rate_s-1,dkappa_dx_W_mK
300.0,7115678018705.222,1.1324953301272802,129107327368.15167,170192307.69230768,9049959552.894829,16627763201.660688,19010157860.415688,173965400290.8152,4.504958297417348
300.0,7222628309236.602,1.1495169975304635,133017519862.3315,170192307.69230768,9606441633.896458,17596280143.923473,19010572426.289524,179401006374.13324,4.500396505594031
300.0,7329830609413.325,1.1665787735144104,136995465101.80283,170192307.69230768,10189602411.746878,18604899360.236523,19010958293.92756,184971117475.40607,4.495029010423777
300.0,7437268837841.808,1.1836780986458395,141040966472.41284,170192307.69230768,10800289749.05236,19654249910.067078,19011317722.942383,190677016162.167,4.488900262515569
300.0,7544926877736.924,1.2008124078587317,145153791645.38898,170192307.69230768,11439357320.359226,20744907033.934658,19011652775.14355,196519901082.51874,4.4820537180409366
300.0,7652788579339.673,1.2179791308391124,149333672387.46237,170192307.69230768,12107663626.827362,21877388448.473824,19011965333.495354,202500882103.95123,4.474531820215735
300.0,7760837762339.808,1.2351756924106245,153580304391.8615,170192307.69230768,12806070970.657398,23052150748.818466,19012257119.107243,208620975538.13696,4.466375982408389
300.0,7869058218303.038,1.2523995129208314,157893347130.32608,170192307.69230768,13535444390.057781,24269585944.34153,19012529706.476067,214881099478.89377,4.45762657273924
300.0,7977433713102.453,1.2696480086281883,162272423726.2797,170192307.69230768,14296650555.636318,25530018153.98911,19012784537.17328,221282069280.77072,4.448322900073245
300.0,8085947989353.801,1.2869185920896298,166717120849.2873,170192307.69230768,15090556629.199083,26833700487.39789,19013022932.147465,227824593205.72406,4.438503201341271
300.0,8194584768854.254,1.3042086725487112,171226988630.9107,170192307.69230768,15918029086.037432,28180812137.666794,19013246102.7927,234509268265.09998,4.428204630153162
300.0,8303327755024.302,1.3215156563242478,175801540602.0616,170192307.69230768,16779932501.881523,29571455711.05442,19013455160.91573,241336576283.60562,4.417463246689653
300.0,8412160635352.389,1.3388369471993917,180440253651.9404,170192307.69230768,17677128305.795414,31005654817.988018,19013651127.719753,248306880211.1359,4.40631400887961
300.0,8521067083841.961,1.35616994681109,185142568008.63538,170192307.69230768,18610473500.38504,32483351948.592133,19013834941.909077,255420420707.21393,4.394790764884788
300.0,8630030763460.5205,1.3735120550398654,189907887241.4433,170192307.69230768,19580819350.784744,34004406654.477398,19014007467.007156,262677313021.4049,4.38292624692633
300.0,8739035328590.336,1.3908606703998578,194735578284.96057,170192307.69230768,20589010043.98164,35568594056.77774,19014169497.970097,270077544191.38235,4.370752066495876
300.0,8848064427480.453,1.4082131904290751,199624971484.98062,170192307.69230768,21635881320.129166,37175603698.3993,19014321767.16861,277620970578.37006,4.358298710999634
300.0,8957101704699.617,1.4255670120797863,204575360666.2196,170192307.69230768,22722259077.590572,38825038756.15831,19014464949.8033,285307315757.4641,4.345595541886626
300.0,9066130803589.736,1.442919532109004,209586003221.87997,170192307.69230768,23848957953.541416,40516415625.96327,19014599668.811,293136168777.888,4.3326707943123735
300.0,9175135368719.55,1.4602681474689965,214656120225.0489,170192307.69230768,25016779882.046032,42249163891.45996,19014726499.313736,301106982805.5609,4.319551578387206
300.0,9284099048338.111,1.477610255697772,219784896561.9147,170192307.69230768,26226512631.60554,44022626683.63572,19014845972.656113,309219074157.5044,4.306263882054198
300.0,9393005496827.684,1.4949432553094701,224971481086.7701,170192307.69230768,27478928324.25562,45836061435.807526,19014958580.07217,317471621734.5978,4.292832575635899
300.0,9501838377155.77,1.5122645461846138,230214986798.76163,170192307.69230768,28774781938.370533,47688641035.231735,19015064776.018364,325863666856.0746,4.279281418081444
300.0,9610581363325.816,1.5295715299601502,235514491040.3279,170192307.69230768,30114809797.403065,49579455369.30826,19015164981.205334,334394113495.9369,4.2656330649371235
300.0,9719218142826.271,1.546861610419232,240869035717.2572,170192307.69230768,31499728046.862133,51507513261.05848,19015259585.357857,343061728918.22797,4.251909078053729
300.0,9827732419077.62,1.5641321938806736,246277627540.28418,170192307.69230768,32930231121.89706,53471744785.26657,19015348949.729206,351865144704.8693,4.238129937033533
300.0,9936107913877.035,1.5813806895880305,251739238288.12936,170192307.69230768,34406990207.92147,55471003953.44197,19015433409.39351,360802858166.5786,4.22431505240891
300.0,10044328369840.266,1.5986045100982376,257252805091.8732,170192307.69230768,35930651696.76923,57504071752.62106,19015513275.33719,369873234124.293,4.210482780533179
300.0,10152377552840.4,1.6158010716697497,262817230740.54556,170192307.69230768,37501835640.93169,59569659520.030334,19015588836.368504,379074507045.56836,4.196650440153004
300.0,10260239254443.148,1.63296779465013,268431384007.79593,170192307.69230768,39121134208.475876,61666412632.81091,19015660360.862198,388404783517.6372,4.182834330620317
300.0,10367897294338.264,1.6501021038630221,274094099999.4979,170192307.69230768,40789110141.29164,63792914489.40468,19015728098.354763,397862045036.24133,4.169049751690781
300.0,10475335522766.748,1.6672014289944517,279804180522.12994,170192307.69230768,42506295219.35734,65947690756.85132,19015792281.003876,407444151087.0348,4.155311024845139
300.0,10582537822943.473,1.6842632049783985,285560394471.7606,170192307.69230768,44273188733.752205,68129213856.175766,19015853124.92472,417148842494.30566,4.141631516059917
300.0,10689488113474.848,1.7012848723815812,291361478243.45306,170192307.69230768,46090255971.17602,70335907656.28493,19015910831.41426,426973745010.0206,4.128023659944569
300.0,10796170350771.215,1.7182638777874006,297206136160.8965,170192307.69230768,47957926712.76583,72566152345.36086,19015965588.07363,436916373114.78906,4.11449898515367
300.0,10902568531453.496,1.7351976741789703,303093040926.0492,170192307.69230768,49876593750.01924,74818289447.64085,19016017569.83787,446974134001.2395,4.101068140975305
300.0,11008666694753.904,1.7520837213212013,309020834088.5814,170192307.69230768,51846611420.65695,77090626952.74518,19016066939.921143,457144331709.597,4.087740924990088
300.0,11114448924910.188,1.7689194861418582,314988126534.8767,170192307.69230768,53868294167.26287,79381444524.31944,19016113850.68502,467424171384.83636,4.074526311689794
300.0,11219899353553.156,1.785702443111546,320993498996.3535,170192307.69230768,55941915121.55239,81688998754.73708,19016158444.436577,477810763624.77185,4.061432481940088
300.0,11325002162087.092,1.802430074622563,327035502576.84766,170192307.69230768,58067704717.117836,84011528432.91695,19016200854.162384,488301128888.7372,4.048466853168422
300.0,11429741584062.688,1.819099871366567,333112659298.7887,170192307.69230768,60245849333.496994,86347259792.96207,19016241204.20402,498892201937.1441,4.03563611015596
300.0,11534101907542.19,1.8357093327109988,339223462667.8926,170192307.69230768,62476489974.40083,88694411712.28665,19016279610.88012,509580836273.15247,4.022946236311085
300.0,11638067477456.312,1.8522559670741974,345366378256.07513,170192307.69230768,64759720982.91933,91051200829.15337,19016316183.059486,520363808558.89966,4.010402545302013
300.0,11741622697952.67,1.8687372922991639,351539844302.292,170192307.69230768,67095588796.506424,93415846551.06526,19016351022.689503,531237822980.2455,3.9980097129267893
300.0,11844752034735.31,1.88515083602591,357742272330.98627,170192307.69230768,69484090744.51501,95786575927.21672,19016384225.283566,542199515535.6939,3.9857718091008354
300.0,11947440017394.996,1.9014941360623339,363972047787.8235,170192307.69230768,71925173891.02104,98161628360.16975,19016415880.370995,553245458227.0776,3.9736923298449542
300.0,12049671241729.918,1.9177647407535732,370227530692.3788,170192307.69230768,74418733925.63878,100539260134.06502,19016446071.91251,564372163131.6874,3.9617742291602127
300.0,12151430372056.506,1.9339602093497819,376507056307.436,170192307.69230768,76964614104.98404,102917748738.95084,19016474878.68421,575576086337.7473,3.9500199506804825
300.0,12252702143509.893,1.950078112372261,382808935824.53644,170192307.69230768,79562604247.39053,105295396973.19325,19016502374.632515,586853631727.4451,3.9384314589984304
300.0,12353471364333.807,1.9661160319779059,389131457065.4204,170192307.69230768,82212439783.43317,107670536808.3832,19016528629.202576,598201154594.1317,3.9270102705663077
300.0,12453722918159.494,1.9820715623219072,395472885198.9854,170192307.69230768,84913800864.74792,110041533003.64207,19016553707.64217,609614965082.71,3.9157574840789406
300.0,12553441766273.318,1.9979423099186522,401831463473.3749,170192307.69230768,87666311533.57127,112406786458.7138,19016577671.283207,621091331444.6355,3.9046738102530196
300.0,12652612949872.697,2.013725894000767,408205413962.8058,170192307.69230768,90469538955.35146,114764737297.69896,19016600577.802475,632626483101.351,3.8937596009233726
300.0,12751221592310.088,2.029419946876259,414592938328.73615,170192307.69230768,93322992716.70642,117113867677.6928,19016622481.463436,644216613512.2911,3.8830148773842073
300.0,12849252901324.629,2.0450221142836926,420992218594.95764,170192307.69230768,96226124190.91917,119452704318.91786,19016643433.34042,655857882845.8274,3.8724393579104754
300.0,12946692171261.117,2.06053005574535,427401417936.1943,170192307.69230768,99178325973.07405,121779820755.16847,19016663481.52673,667546420453.6558,3.8620324844018787
300.0,13043524785275.998,2.0759414449183278,433818681479.78107,170192307.69230768,102178931386.84521,124093839305.48962,19016682671.327827,679278327151.136,3.851793448099366
300.0,13139736217530.045,2.0912539699435104,440242137119.9872,170192307.69230768,105227214064.85033,126393432769.97926,19016701045.44079,691049677307.95,3.8417212143313044
