family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1-1,face,1.557025,5.5406724086e-03,0.0,2.9999969637e-02,0.0,1
-1-1-1,face,1.607025,4.6940706880e-03,0.0,2.9999981513e-02,0.0,1
-1-1-1,face,1.657025,3.9763104840e-03,0.0,2.9999988751e-02,0.0,1
-1-1-1,face,1.707025,3.3679300641e-03,0.0,2.9999993158e-02,0.0,1
-1-1-1,face,1.757025,2.8523660339e-03,0.0,2.9999995841e-02,0.0,1
-1-1-1,face,1.807025,2.4155334591e-03,0.0,2.9999997472e-02,0.0,1
-1-1-1,face,1.857025,2.0454634452e-03,0.0,2.9999998464e-02,0.0,1
-1-1-1,face,1.907025,1.7319912983e-03,0.0,2.9999999067e-02,0.0,1
-1-1-1,face,1.957025,1.4664889098e-03,0.0,2.9999999434e-02,0.0,1
-1-1-1,face,2.007025,1.2416355949e-03,0.0,2.9999999656e-02,0.0,1
-1-1-1,face,2.057025,1.0512222174e-03,0.0,2.9999999791e-02,0.0,1
-1-1-1,face,2.107025,8.8998402311e-04,0.0,2.9999999873e-02,0.0,1
-1-1-1,face,2.157025,7.5345815510e-04,0.0,2.9999999923e-02,0.0,1
-1-1-1,face,2.207025,6.3786234004e-04,0.0,2.9999999953e-02,0.0,1
-1-1-1,face,2.257025,5.3999169173e-04,0.0,2.9999999972e-02,0.0,1
-1-1-1,face,2.307025,4.5713099416e-04,0.0,2.9999999983e-02,0.0,1
-1-1-1,face,2.357025,3.8698018992e-04,0.0,2.9999999990e-02,0.0,1
-1-1-1,face,2.407025,3.2759112037e-04,0.0,2.9999999994e-02,0.0,1
-1-1-1,face,2.457025,2.7731384308e-04,0.0,2.9999999996e-02,0.0,1
-1-1-1,face,2.507025,2.3475109422e-04,0.0,2.9999999998e-02,0.0,1
-1-1-1,face,2.557025,1.9871967273e-04,0.0,2.9999999999e-02,0.0,1
-1-1-1,face,2.607025,1.6821770318e-04,0.0,2.9999999999e-02,0.0,1
-1-1-1,face,2.657025,1.4239688887e-04,0.0,2.9999999999e-02,0.0,1
-1-1-1,face,2.707025,1.2053899916e-04,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,2.757025,1.0203594809e-04,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,2.807025,8.6372918321e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,2.857025,7.3114066364e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,2.907025,6.1890415689e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,2.957025,5.2389603596e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.007025,4.4347198692e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.057025,3.7539348815e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.107025,3.1776555864e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.157025,2.6898405037e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.207025,2.2769102315e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.257025,1.9273696372e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.307025,1.6314880024e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.357025,1.3810282374e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.407025,1.1690176430e-05,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.457025,9.8955384675e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.507025,8.3764051956e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.557025,7.0904830363e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.607025,6.0019708441e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.657025,5.0805633142e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.707025,4.3006073518e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.757025,3.6403879328e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.807025,3.0815235788e-06,0.0,3.0000000000e-02,0.0,1
-1-1-1,face,3.857025,2.6084546282e-06,0.0,3.0000000000e-02,0.0,1
