T_C,xB,rc_schur_nm,rc_fit_nm,delta_fit_minus_schur_nm,F_CNT_fit_hat_excess,DeltaG_CNT_refsub_kBT,DeltaG_CNT_refsub_J,peak_radius_physical_nm,fit_method,status,fitted_table
420.0,0.045,2.043816988796803,1.8888164829666874,-0.15500050583011582,1.1409938872571886e-05,255.95076359570297,2.4494407562956824e-18,1.843817,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
420.0,0.05,1.947389769553322,1.8051584998582084,-0.14223126969511357,1.041173974663995e-05,233.5604258955506,2.235165928826882e-18,1.84739,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
430.0,0.03,2.8872206884631875,2.6005628596413892,-0.28665782882179824,2.1719913065385642e-05,481.0738860182012,4.670281374259204e-18,2.587221,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
430.0,0.035,2.5527630048218803,2.322463905960162,-0.2302990988617184,1.7305670663348158e-05,383.1346574502768,3.719484067891203e-18,2.352763,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
430.0,0.04,2.3339080959662963,2.137605968725003,-0.19630212724129326,1.4644764779317505e-05,324.38925854320513,3.1491817706496034e-18,2.133908,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
430.0,0.045,2.1804497787152246,2.006558681807633,-0.17389109690759152,1.289123877361498e-05,285.40529732010936,2.7707241713356825e-18,1.98045,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
430.0,0.05,2.0677870501670523,1.9095780159058342,-0.15820903426121813,1.166467134541407e-05,258.0115634892005,2.5047848871628822e-18,1.867787,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T430C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
440.0,0.03,3.196222448720347,2.853122660273303,-0.34309978844704414,2.6153802650493147e-05,570.806958069974,5.620221444311045e-18,2.896222,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
440.0,0.035,2.7831523332688826,2.514636999933351,-0.26851533333553146,2.0303445960645428e-05,443.222130675157,4.364008686643204e-18,2.483152,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
440.0,0.04,2.519081336881562,2.2942172244763794,-0.22486411240518267,1.6884908199218494e-05,368.6368376437742,3.629634556477444e-18,2.319081,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
440.0,0.045,2.336659617658979,2.139992873003767,-0.19666674465521217,1.4677736085765859e-05,320.5612159950982,3.1562772577996826e-18,2.13666,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
440.0,0.05,2.204052491451324,2.0268397887369227,-0.17721270271440126,1.3155417133010269e-05,287.20688344431653,2.8278672193228827e-18,2.004052,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T440C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
450.0,0.03,3.579292463459268,3.160818417309519,-0.41847404614974915,3.2096327823346674e-05,691.223247122206,6.9012857369702466e-18,3.179292,poly3,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
450.0,0.035,3.0592528607380163,2.7417631051252758,-0.3174897556127405,2.414916931700058e-05,520.0635592643798,5.192399472691205e-18,2.759253,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
450.0,0.04,2.7361702225497986,2.4757161795137255,-0.2604540430360731,1.9677299384893204e-05,423.4894757707459,4.228188057999365e-18,2.43617,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
450.0,0.045,2.516978766278332,2.2925032761318587,-0.22447549014647317,1.685956103965542e-05,362.9972867135527,3.624224167495684e-18,2.316979,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
450.0,0.05,2.3595445056126527,2.1594834373590994,-0.2000610682535533,1.4948278533703802e-05,321.957657301688,3.214477807994883e-18,2.159545,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T450C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
