case_id,case_label,family,particle_count,radius_nm,integer_count,profile_h_volume_nm3
016,NARROW_N640_A,NARROW,640,10.75,0,5203.720981583941
016,NARROW_N640_A,NARROW,640,11.0,0,5575.279762734301
016,NARROW_N640_A,NARROW,640,11.25,0,5964.117303480982
016,NARROW_N640_A,NARROW,640,11.5,0,6370.626302904078
017,NARROW_N640_B,NARROW,640,8.0,1,2144.6605848700437
017,NARROW_N640_B,NARROW,640,8.25,527,2352.07114986578
017,NARROW_N640_B,NARROW,640,8.5,108,2572.4407845623964
017,NARROW_N640_B,NARROW,640,8.75,2,2806.1621880415323
017,NARROW_N640_B,NARROW,640,9.0,1,3053.6280593591555
017,NARROW_N640_B,NARROW,640,9.25,1,3315.231097606091
017,NARROW_N640_B,NARROW,640,9.5,0,3591.3640018963897
017,NARROW_N640_B,NARROW,640,9.75,0,3882.4194713057354
017,NARROW_N640_B,NARROW,640,10.0,0,4188.790204894687
017,NARROW_N640_B,NARROW,640,10.25,0,4510.868901748711
017,NARROW_N640_B,NARROW,640,10.5,0,4849.048260952037
017,NARROW_N640_B,NARROW,640,10.75,0,5203.720981583941
017,NARROW_N640_B,NARROW,640,11.0,0,5575.279762734301
017,NARROW_N640_B,NARROW,640,11.25,0,5964.117303480982
017,NARROW_N640_B,NARROW,640,11.5,0,6370.626302904078
018,NARROW_N640_C,NARROW,640,8.0,1,2144.6605848700437
018,NARROW_N640_C,NARROW,640,8.25,527,2352.07114986578
018,NARROW_N640_C,NARROW,640,8.5,108,2572.4407845623964
018,NARROW_N640_C,NARROW,640,8.75,2,2806.1621880415323
018,NARROW_N640_C,NARROW,640,9.0,1,3053.6280593591555
018,NARROW_N640_C,NARROW,640,9.25,1,3315.231097606091
018,NARROW_N640_C,NARROW,640,9.5,0,3591.3640018963897
018,NARROW_N640_C,NARROW,640,9.75,0,3882.4194713057354
018,NARROW_N640_C,NARROW,640,10.0,0,4188.790204894687
018,NARROW_N640_C,NARROW,640,10.25,0,4510.868901748711
018,NARROW_N640_C,NARROW,640,10.5,0,4849.048260952037
018,NARROW_N640_C,NARROW,640,10.75,0,5203.720981583941
018,NARROW_N640_C,NARROW,640,11.0,0,5575.279762734301
018,NARROW_N640_C,NARROW,640,11.25,0,5964.117303480982
018,NARROW_N640_C,NARROW,640,11.5,0,6370.626302904078
019,NARROW_N704_A,NARROW,704,8.0,620,2144.6605848700437
019,NARROW_N704_A,NARROW,704,8.25,67,2352.07114986578
019,NARROW_N704_A,NARROW,704,8.5,16,2572.4407845623964
019,NARROW_N704_A,NARROW,704,8.75,0,2806.1621880415323
019,NARROW_N704_A,NARROW,704,9.0,1,3053.6280593591555
019,NARROW_N704_A,NARROW,704,9.25,0,3315.231097606091
019,NARROW_N704_A,NARROW,704,9.5,0,3591.3640018963897
019,NARROW_N704_A,NARROW,704,9.75,0,3882.4194713057354
019,NARROW_N704_A,NARROW,704,10.0,0,4188.790204894687
019,NARROW_N704_A,NARROW,704,10.25,0,4510.868901748711
019,NARROW_N704_A,NARROW,704,10.5,0,4849.048260952037
019,NARROW_N704_A,NARROW,704,10.75,0,5203.720981583941
019,NARROW_N704_A,NARROW,704,11.0,0,5575.279762734301
019,NARROW_N704_A,NARROW,704,11.25,0,5964.117303480982
019,NARROW_N704_A,NARROW,704,11.5,0,6370.626302904078
020,NARROW_N704_B,NARROW,704,8.0,620,2144.6605848700437
020,NARROW_N704_B,NARROW,704,8.25,67,2352.07114986578
020,NARROW_N704_B,NARROW,704,8.5,16,2572.4407845623964
020,NARROW_N704_B,NARROW,704,8.75,0,2806.1621880415323
020,NARROW_N704_B,NARROW,704,9.0,1,3053.6280593591555
020,NARROW_N704_B,NARROW,704,9.25,0,3315.231097606091
020,NARROW_N704_B,NARROW,704,9.5,0,3591.3640018963897
020,NARROW_N704_B,NARROW,704,9.75,0,3882.4194713057354
020,NARROW_N704_B,NARROW,704,10.0,0,4188.790204894687
020,NARROW_N704_B,NARROW,704,10.25,0,4510.868901748711
020,NARROW_N704_B,NARROW,704,10.5,0,4849.048260952037
020,NARROW_N704_B,NARROW,704,10.75,0,5203.720981583941
020,NARROW_N704_B,NARROW,704,11.0,0,5575.279762734301
020,NARROW_N704_B,NARROW,704,11.25,0,5964.117303480982
020,NARROW_N704_B,NARROW,704,11.5,0,6370.626302904078
021,NARROW_N704_C,NARROW,704,8.0,620,2144.6605848700437
021,NARROW_N704_C,NARROW,704,8.25,67,2352.07114986578
021,NARROW_N704_C,NARROW,704,8.5,16,2572.4407845623964
021,NARROW_N704_C,NARROW,704,8.75,0,2806.1621880415323
021,NARROW_N704_C,NARROW,704,9.0,1,3053.6280593591555
021,NARROW_N704_C,NARROW,704,9.25,0,3315.231097606091
021,NARROW_N704_C,NARROW,704,9.5,0,3591.3640018963897
021,NARROW_N704_C,NARROW,704,9.75,0,3882.4194713057354
021,NARROW_N704_C,NARROW,704,10.0,0,4188.790204894687
021,NARROW_N704_C,NARROW,704,10.25,0,4510.868901748711
021,NARROW_N704_C,NARROW,704,10.5,0,4849.048260952037
021,NARROW_N704_C,NARROW,704,10.75,0,5203.720981583941
021,NARROW_N704_C,NARROW,704,11.0,0,5575.279762734301
021,NARROW_N704_C,NARROW,704,11.25,0,5964.117303480982
021,NARROW_N704_C,NARROW,704,11.5,0,6370.626302904078
