step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_total,dxB,deta,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
34,3.4000000000e-03,1.0000000000e-04,447034,48,48,58,-2.9122228684e+03,4.8456369534e-01,4.9692143656e-01,3.3799479637e-02,-3.3529259837e+00,4.7107531428e-01,1.8714275108e+00,-2.9122228684e+03,3.0254197354e-02,-2.9121926142e+03,2.0061611645e-05,1.3229642803e-04,-1.2345357271e+00,-1.2314572803e+00,3.0784467296e-03,interface,1,0,1,437711,47,47,47,9.9993529770e-01
35,3.5000000000e-03,1.0000000000e-04,447034,48,48,58,-2.9136558019e+03,4.8469599177e-01,4.9685715196e-01,3.3819541249e-02,-3.3523118482e+00,4.7132290150e-01,1.8714884556e+00,-2.9136558019e+03,2.9995392983e-02,-2.9136258065e+03,-2.5581160924e-05,1.3237375865e-04,-1.2348150258e+00,-1.2316723020e+00,3.1427238689e-03,interface,1,0,1,437711,47,47,47,9.9993185439e-01
36,3.6000000000e-03,1.0000000000e-04,447034,48,48,58,-2.9136207209e+03,4.8482836553e-01,4.9679294866e-01,3.3793960088e-02,-3.3530950124e+00,4.7157064146e-01,1.8715489121e+00,-2.9136207209e+03,2.9736424712e-02,-2.9135909845e+03,-6.5946504813e-05,1.3238317346e-04,-1.2344497754e+00,-1.2312428560e+00,3.2069194039e-03,interface,1,0,1,437711,47,47,47,9.9992841473e-01
37,3.7000000000e-03,1.0000000000e-04,447034,48,48,58,-2.9122828651e+03,4.8496074870e-01,4.9672868626e-01,3.3728013583e-02,-3.3551165984e+00,4.7181840702e-01,1.8716088485e+00,-2.9122828651e+03,2.9477425505e-02,-2.9122533876e+03,-1.0104121139e-04,1.3233154446e-04,-1.2335125285e+00,-1.2302413548e+00,3.2711737066e-03,interface,1,0,1,437711,47,47,47,9.9992497999e-01
38,3.8000000000e-03,1.0000000000e-04,502328,54,48,56,-2.9098412547e+03,4.8470161484e-01,4.9666444958e-01,3.3636772088e-02,-3.3579198999e+00,4.7133342502e-01,1.8714910344e+00,-2.9098412547e+03,2.9984392587e-02,-2.9098112703e+03,-1.2895028015e-04,1.3658317861e-04,-1.2322126853e+00,-1.2288772834e+00,3.3354019770e-03,interface,1,0,1,437711,47,47,47,9.9992155095e-01
39,3.9000000000e-03,1.0000000000e-04,503088,54,56,48,-2.9064418413e+03,4.8483819802e-01,4.9659973058e-01,3.3507821808e-02,-3.3618943073e+00,4.7158904348e-01,1.8715533818e+00,-2.9064418413e+03,2.9717188497e-02,-2.9064121241e+03,-1.5433968941e-04,1.3642662205e-04,-1.2303680990e+00,-1.2269679868e+00,3.4001121675e-03,interface,1,0,1,437711,47,47,47,9.9991812824e-01
40,4.0000000000e-03,1.0000000000e-04,502328,54,48,56,-2.9021835624e+03,4.8497462464e-01,4.9653461862e-01,3.3353482119e-02,-3.3666707052e+00,4.7184437740e-01,1.8716151005e+00,-2.9021835624e+03,2.9450277391e-02,-2.9021541121e+03,-1.7520181030e-04,1.3623069887e-04,-1.2281468581e+00,-1.2246816432e+00,3.4652149222e-03,interface,1,0,1,437711,47,47,47,9.9991471257e-01
41,4.1000000000e-03,1.0000000000e-04,373290,40,48,42,-2.8971979453e+03,4.8511085534e-01,4.9646903252e-01,3.3178280309e-02,-3.3721186599e+00,4.7209935300e-01,1.8716761749e+00,-2.8971979453e+03,2.9183736459e-02,-2.8971687615e+03,-1.9189504967e-04,1.3600033225e-04,-1.2256069160e+00,-1.2220761246e+00,3.5307913859e-03,interface,1,0,1,437711,47,47,47,9.9991130412e-01
42,4.2000000000e-03,1.0000000000e-04,502328,54,48,56,-2.8916067911e+03,4.8524685568e-01,4.9640290409e-01,3.2986385259e-02,-3.3781176663e+00,4.7235390570e-01,1.8717365922e+00,-2.8916067911e+03,2.8917633272e-02,-2.8915778735e+03,-2.0480490159e-04,1.3574131874e-04,-1.2228019262e+00,-1.2192050164e+00,3.5969097399e-03,interface,1,0,1,437711,47,47,47,9.9990790323e-01
43,4.3000000000e-03,1.0000000000e-04,502328,54,48,56,-2.8855220321e+03,4.8538259699e-01,4.9633617712e-01,3.2781580357e-02,-3.3845575602e+00,4.7260798175e-01,1.8717963426e+00,-2.8855220321e+03,2.8652024068e-02,-2.8854933801e+03,-2.1432674963e-04,1.3545820760e-04,-1.2197811653e+00,-1.2161175391e+00,3.6636261529e-03,interface,1,0,1,437711,47,47,47,9.9990451009e-01
