points_per_cell,radius_probe_m,probe_kind,number_cdf_eulerian,number_cdf_cohort,number_cdf_absolute_error,M3_cdf_eulerian,M3_cdf_cohort,M3_cdf_absolute_error
4,1.9463086983099557e-08,canonical_cell_edge,0.9999999401422792,0.9999999401422819,2.6645352591003757e-15,0.9999994529865965,0.999999452986593,3.552713678800501e-15
4,1.9471236507446585e-08,independent_subcell_probe,0.9999999410906072,0.999999940802043,2.885641725569599e-10,0.9999994610136774,0.9999994585695519,2.4441255686014074e-09
4,1.9479386031793616e-08,independent_subcell_probe,0.9999999420389353,0.999999942038938,2.7755575615628914e-15,0.9999994690508435,0.9999994690499814,8.620881786214341e-13
4,1.9487535556140647e-08,independent_subcell_probe,0.9999999429872632,0.9999999432758331,2.8856983469438546e-10,0.9999994770981034,0.9999994795483146,2.4502111450885877e-09
4,1.9495685080487675e-08,canonical_cell_edge,0.9999999439355912,0.9999999439355941,2.886579864025407e-15,0.9999994851554657,0.9999994851554622,3.4416913763379853e-15
4,1.9503848254210497e-08,independent_subcell_probe,0.9999999448256418,0.999999944554811,2.708308022292272e-10,0.999999492727177,0.9999994904217046,2.3054724795912307e-09
4,1.951201142793332e-08,independent_subcell_probe,0.9999999457156923,0.9999999457156953,2.9976021664879227e-15,0.9999995003084016,0.999999500307588,8.135714324453147e-13
4,1.9520174601656143e-08,independent_subcell_probe,0.9999999466057429,0.9999999468765797,2.7083679743356015e-10,0.9999995078991473,0.9999995102103596,2.3112123326285428e-09
4,1.9528337775378965e-08,canonical_cell_edge,0.9999999474957934,0.9999999474957966,3.219646771412954e-15,0.999999515499422,0.9999995154994185,3.552713678800501e-15
4,1.953651462133848e-08,independent_subcell_probe,0.9999999483310283,0.9999999480768776,2.5415070048495636e-10,0.9999995226405759,0.9999995204662016,2.1743743472413257e-09
4,1.9544691467297997e-08,independent_subcell_probe,0.9999999491662633,0.9999999491662666,3.219646771412954e-15,0.9999995297907021,0.9999995297899347,7.673861546209082e-13
4,1.9552868313257514e-08,independent_subcell_probe,0.9999999500014982,0.9999999502556556,2.541573618231041e-10,0.9999995369498081,0.9999995391295956,2.1797874616424906e-09
4,1.9561045159217028e-08,canonical_cell_edge,0.9999999508367333,0.9999999508367367,3.3306690738754696e-15,0.9999995441179012,0.9999995441178977,3.4416913763379853e-15
4,1.9569235700312428e-08,independent_subcell_probe,0.9999999516204167,0.9999999513819529,2.384638042585152e-10,0.9999995508520186,0.9999995488015807,2.0504379305563702e-09
4,1.9577426241407825e-08,independent_subcell_probe,0.9999999524041,0.9999999524041036,3.552713678800501e-15,0.9999995575945971,0.9999995575938733,7.238654120556021e-13
4,1.9585616782503222e-08,independent_subcell_probe,0.9999999531877835,0.9999999534262543,2.3847079866357035e-10,0.9999995643456433,0.9999995664011858,2.0555425139789918e-09
4,1.9593807323598622e-08,canonical_cell_edge,0.9999999539714669,0.9999999539714705,3.552713678800501e-15,0.9999995711051647,0.9999995711051614,3.3306690738754696e-15
