probe_path,matrix_xB,radius_m,xeq_alpha_beta,chemical_driving_force_xB,gibbs_thomson_embedded_in_xeq,elastic_correction_included,elastic_penalty_j_m3,growth_rate_eulerian_m_s,growth_rate_cohort_m_s,growth_sign,critical_radius_m,molar_inventory_per_particle_mol,relative_difference
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.012720682687198e-09,0.006381268609869936,-0.00016069005255762644,True,True,0.0,-1.6294383760267693e-13,-1.6294383760267693e-13,DISSOLUTION,8.714603508943103e-09,5.2547183325794953e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.016213779329019e-09,0.006380388149707909,-0.00015980959239559993,True,True,0.0,-1.6198027049502526e-13,-1.6198027049502526e-13,DISSOLUTION,8.714603508943103e-09,5.2615936160339744e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.018076834440281e-09,0.006379918916577907,-0.00015934035926559818,True,True,0.0,-1.6146706084934404e-13,-1.6146706084934404e-13,DISSOLUTION,8.714603508943103e-09,5.2652630231502925e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.021575781557139e-09,0.0063790383463437385,-0.0001584597890314293,True,True,0.0,-1.605045540649879e-13,-1.605045540649879e-13,DISSOLUTION,8.714603508943103e-09,5.2721590349405606e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.026140930430263e-09,0.006377890784870852,-0.00015731222755854292,True,True,0.0,-1.5925136908504734e-13,-1.5925136908504734e-13,DISSOLUTION,8.714603508943103e-09,5.281165453959444e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.029639877547121e-09,0.006377012262074694,-0.00015643370476238483,True,True,0.0,-1.5829287016949102e-13,-1.5829287016949102e-13,DISSOLUTION,8.714603508943103e-09,5.2880753408778106e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.031506053029373e-09,0.006376544061363179,-0.00015596550405086972,True,True,0.0,-1.5778236034095973e-13,-1.5778236034095973e-13,DISSOLUTION,8.714603508943103e-09,5.291763216206747e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.035010860420039e-09,0.006375665428426279,-0.0001550868711139696,True,True,0.0,-1.5682491776872736e-13,-1.5682491776872736e-13,DISSOLUTION,8.714603508943103e-09,5.2986939357871016e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.039583655313944e-09,0.00637452039133999,-0.00015394183402768057,True,True,0.0,-1.5557832796573562e-13,-1.5557832796573562e-13,DISSOLUTION,8.714603508943103e-09,5.307745684325457e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.04308846270461e-09,0.006373643800870827,-0.00015306524355851794,True,True,0.0,-1.5462487457325022e-13,-1.5462487457325022e-13,DISSOLUTION,8.714603508943103e-09,5.314690348867757e-20,0.0
